Time,Rate,Lower,Upper
2020-05-09,0.3,0.16,0.5
2020-05-23,0.15,0.06,0.31
2020-06-06,0.06,0.02,0.14
2020-06-20,0.1,0.03,0.26
2020-07-04,0.1,0.04,0.21
2020-07-18,0.12,0.06,0.21
2020-08-01,0.03,0.01,0.08
2020-08-15,0.03,0.01,0.07
2020-08-29,0.05,0.03,0.09
2020-09-12,0.15,0.11,0.21
2020-09-26,0.34,0.28,0.4
2020-10-10,0.67,0.6,0.75
2020-10-14,1.06,0.97,1.16
2020-11-07,1.22,1.12,1.33
2020-11-21,0.92,0.84,1.01
2020-12-05,0.96,0.87,1.06
2020-12-19,1.07,0.97,1.17
2021-01-02,1.88,1.76,2.01
2021-01-16,1.75,1.63,1.88
2021-01-30,1.42,1.31,1.53
2021-02-13,0.71,0.63,0.79
2021-02-27,0.38,0.32,0.44
2021-03-13,0.23,0.19,0.28
2021-03-27,0.2,0.16,0.25
2021-04-10,0.13,0.1,0.17
2021-04-14,0.05,0.03,0.08
2021-05-08,0.05,0.03,0.08
2021-05-22,0.08,0.05,0.11
2021-06-05,0.1,0.07,0.13
2021-06-19,0.15,0.12,0.2
2021-07-03,0.4,0.34,0.48
