date,areaType,areaCode,areaName,age,cases
21/02/2021,nation,E92000001,England,70+,468
20/02/2021,nation,E92000001,England,70+,512
19/02/2021,nation,E92000001,England,70+,701
18/02/2021,nation,E92000001,England,70+,812
17/02/2021,nation,E92000001,England,70+,847
16/02/2021,nation,E92000001,England,70+,939
15/02/2021,nation,E92000001,England,70+,1205
14/02/2021,nation,E92000001,England,70+,605
13/02/2021,nation,E92000001,England,70+,630
12/02/2021,nation,E92000001,England,70+,1004
11/02/2021,nation,E92000001,England,70+,1014
10/02/2021,nation,E92000001,England,70+,1140
09/02/2021,nation,E92000001,England,70+,1166
08/02/2021,nation,E92000001,England,70+,1436
07/02/2021,nation,E92000001,England,70+,936
06/02/2021,nation,E92000001,England,70+,990
05/02/2021,nation,E92000001,England,70+,1472
04/02/2021,nation,E92000001,England,70+,1538
03/02/2021,nation,E92000001,England,70+,1760
02/02/2021,nation,E92000001,England,70+,1952
01/02/2021,nation,E92000001,England,70+,2127
31/01/2021,nation,E92000001,England,70+,1269
30/01/2021,nation,E92000001,England,70+,1350
29/01/2021,nation,E92000001,England,70+,2172
28/01/2021,nation,E92000001,England,70+,2287
27/01/2021,nation,E92000001,England,70+,2341
26/01/2021,nation,E92000001,England,70+,2742
25/01/2021,nation,E92000001,England,70+,2959
24/01/2021,nation,E92000001,England,70+,1525
23/01/2021,nation,E92000001,England,70+,1931
22/01/2021,nation,E92000001,England,70+,2767
21/01/2021,nation,E92000001,England,70+,2919
20/01/2021,nation,E92000001,England,70+,3532
19/01/2021,nation,E92000001,England,70+,3894
18/01/2021,nation,E92000001,England,70+,4241
17/01/2021,nation,E92000001,England,70+,2378
16/01/2021,nation,E92000001,England,70+,2596
15/01/2021,nation,E92000001,England,70+,3899
14/01/2021,nation,E92000001,England,70+,4043
13/01/2021,nation,E92000001,England,70+,4252
12/01/2021,nation,E92000001,England,70+,4956
11/01/2021,nation,E92000001,England,70+,5491
10/01/2021,nation,E92000001,England,70+,3062
09/01/2021,nation,E92000001,England,70+,3537
08/01/2021,nation,E92000001,England,70+,4666
07/01/2021,nation,E92000001,England,70+,4804
06/01/2021,nation,E92000001,England,70+,5064
05/01/2021,nation,E92000001,England,70+,5758
04/01/2021,nation,E92000001,England,70+,6204
03/01/2021,nation,E92000001,England,70+,3726
02/01/2021,nation,E92000001,England,70+,4234
01/01/2021,nation,E92000001,England,70+,2597
31/12/2020,nation,E92000001,England,70+,3789
30/12/2020,nation,E92000001,England,70+,4879
29/12/2020,nation,E92000001,England,70+,5727
28/12/2020,nation,E92000001,England,70+,3087
27/12/2020,nation,E92000001,England,70+,2873
26/12/2020,nation,E92000001,England,70+,2530
25/12/2020,nation,E92000001,England,70+,1197
24/12/2020,nation,E92000001,England,70+,2111
23/12/2020,nation,E92000001,England,70+,2826
22/12/2020,nation,E92000001,England,70+,3128
21/12/2020,nation,E92000001,England,70+,3093
20/12/2020,nation,E92000001,England,70+,1827
19/12/2020,nation,E92000001,England,70+,1759
18/12/2020,nation,E92000001,England,70+,2416
17/12/2020,nation,E92000001,England,70+,2277
16/12/2020,nation,E92000001,England,70+,2313
15/12/2020,nation,E92000001,England,70+,2319
