date,areaType,areaCode,areaName,age,cases
15/07/2021,nation,E92000001,England,11_15,4764
14/07/2021,nation,E92000001,England,11_15,4601
13/07/2021,nation,E92000001,England,11_15,4218
12/07/2021,nation,E92000001,England,11_15,4491
11/07/2021,nation,E92000001,England,11_15,3215
10/07/2021,nation,E92000001,England,11_15,2826
09/07/2021,nation,E92000001,England,11_15,3109
08/07/2021,nation,E92000001,England,11_15,3009
07/07/2021,nation,E92000001,England,11_15,3483
06/07/2021,nation,E92000001,England,11_15,3395
05/07/2021,nation,E92000001,England,11_15,3550
04/07/2021,nation,E92000001,England,11_15,2780
03/07/2021,nation,E92000001,England,11_15,2245
02/07/2021,nation,E92000001,England,11_15,2416
01/07/2021,nation,E92000001,England,11_15,2528
30/06/2021,nation,E92000001,England,11_15,2602
29/06/2021,nation,E92000001,England,11_15,2598
28/06/2021,nation,E92000001,England,11_15,2839
27/06/2021,nation,E92000001,England,11_15,1952
26/06/2021,nation,E92000001,England,11_15,1472
25/06/2021,nation,E92000001,England,11_15,1584
24/06/2021,nation,E92000001,England,11_15,1570
23/06/2021,nation,E92000001,England,11_15,1594
22/06/2021,nation,E92000001,England,11_15,1498
21/06/2021,nation,E92000001,England,11_15,1400
20/06/2021,nation,E92000001,England,11_15,1005
19/06/2021,nation,E92000001,England,11_15,708
18/06/2021,nation,E92000001,England,11_15,823
17/06/2021,nation,E92000001,England,11_15,878
16/06/2021,nation,E92000001,England,11_15,935
15/06/2021,nation,E92000001,England,11_15,920
14/06/2021,nation,E92000001,England,11_15,925
13/06/2021,nation,E92000001,England,11_15,699
12/06/2021,nation,E92000001,England,11_15,482
11/06/2021,nation,E92000001,England,11_15,524
10/06/2021,nation,E92000001,England,11_15,526
09/06/2021,nation,E92000001,England,11_15,606
08/06/2021,nation,E92000001,England,11_15,556
07/06/2021,nation,E92000001,England,11_15,639
06/06/2021,nation,E92000001,England,11_15,563
05/06/2021,nation,E92000001,England,11_15,330
04/06/2021,nation,E92000001,England,11_15,379
03/06/2021,nation,E92000001,England,11_15,414
02/06/2021,nation,E92000001,England,11_15,436
01/06/2021,nation,E92000001,England,11_15,388
31/05/2021,nation,E92000001,England,11_15,346
30/05/2021,nation,E92000001,England,11_15,321
29/05/2021,nation,E92000001,England,11_15,262
28/05/2021,nation,E92000001,England,11_15,326
27/05/2021,nation,E92000001,England,11_15,372
26/05/2021,nation,E92000001,England,11_15,406
25/05/2021,nation,E92000001,England,11_15,368
24/05/2021,nation,E92000001,England,11_15,365
23/05/2021,nation,E92000001,England,11_15,337
22/05/2021,nation,E92000001,England,11_15,196
21/05/2021,nation,E92000001,England,11_15,212
20/05/2021,nation,E92000001,England,11_15,238
19/05/2021,nation,E92000001,England,11_15,311
18/05/2021,nation,E92000001,England,11_15,280
17/05/2021,nation,E92000001,England,11_15,295
16/05/2021,nation,E92000001,England,11_15,257
15/05/2021,nation,E92000001,England,11_15,141
14/05/2021,nation,E92000001,England,11_15,155
13/05/2021,nation,E92000001,England,11_15,197
12/05/2021,nation,E92000001,England,11_15,217
11/05/2021,nation,E92000001,England,11_15,190
10/05/2021,nation,E92000001,England,11_15,294
09/05/2021,nation,E92000001,England,11_15,315
08/05/2021,nation,E92000001,England,11_15,127
07/05/2021,nation,E92000001,England,11_15,162
06/05/2021,nation,E92000001,England,11_15,229
05/05/2021,nation,E92000001,England,11_15,295
04/05/2021,nation,E92000001,England,11_15,250
03/05/2021,nation,E92000001,England,11_15,262
02/05/2021,nation,E92000001,England,11_15,209
01/05/2021,nation,E92000001,England,11_15,102
30/04/2021,nation,E92000001,England,11_15,113
29/04/2021,nation,E92000001,England,11_15,219
28/04/2021,nation,E92000001,England,11_15,300
27/04/2021,nation,E92000001,England,11_15,179
26/04/2021,nation,E92000001,England,11_15,216
25/04/2021,nation,E92000001,England,11_15,300
24/04/2021,nation,E92000001,England,11_15,108
23/04/2021,nation,E92000001,England,11_15,117
22/04/2021,nation,E92000001,England,11_15,200
21/04/2021,nation,E92000001,England,11_15,274
20/04/2021,nation,E92000001,England,11_15,166
19/04/2021,nation,E92000001,England,11_15,223
18/04/2021,nation,E92000001,England,11_15,412
17/04/2021,nation,E92000001,England,11_15,108
16/04/2021,nation,E92000001,England,11_15,140
15/04/2021,nation,E92000001,England,11_15,172
14/04/2021,nation,E92000001,England,11_15,171
13/04/2021,nation,E92000001,England,11_15,126
12/04/2021,nation,E92000001,England,11_15,181
11/04/2021,nation,E92000001,England,11_15,236
10/04/2021,nation,E92000001,England,11_15,143
09/04/2021,nation,E92000001,England,11_15,165
08/04/2021,nation,E92000001,England,11_15,201
07/04/2021,nation,E92000001,England,11_15,260
06/04/2021,nation,E92000001,England,11_15,176
05/04/2021,nation,E92000001,England,11_15,226
04/04/2021,nation,E92000001,England,11_15,233
03/04/2021,nation,E92000001,England,11_15,173
02/04/2021,nation,E92000001,England,11_15,185
01/04/2021,nation,E92000001,England,11_15,297
31/03/2021,nation,E92000001,England,11_15,408
30/03/2021,nation,E92000001,England,11_15,267
29/03/2021,nation,E92000001,England,11_15,277
28/03/2021,nation,E92000001,England,11_15,733
27/03/2021,nation,E92000001,England,11_15,280
26/03/2021,nation,E92000001,England,11_15,360
25/03/2021,nation,E92000001,England,11_15,560
24/03/2021,nation,E92000001,England,11_15,737
23/03/2021,nation,E92000001,England,11_15,461
22/03/2021,nation,E92000001,England,11_15,601
21/03/2021,nation,E92000001,England,11_15,751
20/03/2021,nation,E92000001,England,11_15,256
19/03/2021,nation,E92000001,England,11_15,395
18/03/2021,nation,E92000001,England,11_15,456
17/03/2021,nation,E92000001,England,11_15,520
16/03/2021,nation,E92000001,England,11_15,421
15/03/2021,nation,E92000001,England,11_15,475
14/03/2021,nation,E92000001,England,11_15,236
13/03/2021,nation,E92000001,England,11_15,180
12/03/2021,nation,E92000001,England,11_15,365
11/03/2021,nation,E92000001,England,11_15,322
10/03/2021,nation,E92000001,England,11_15,351
09/03/2021,nation,E92000001,England,11_15,401
08/03/2021,nation,E92000001,England,11_15,375
07/03/2021,nation,E92000001,England,11_15,152
06/03/2021,nation,E92000001,England,11_15,182
05/03/2021,nation,E92000001,England,11_15,267
04/03/2021,nation,E92000001,England,11_15,261
03/03/2021,nation,E92000001,England,11_15,243
02/03/2021,nation,E92000001,England,11_15,260
01/03/2021,nation,E92000001,England,11_15,245
28/02/2021,nation,E92000001,England,11_15,153
27/02/2021,nation,E92000001,England,11_15,145
26/02/2021,nation,E92000001,England,11_15,210
25/02/2021,nation,E92000001,England,11_15,234
24/02/2021,nation,E92000001,England,11_15,270
23/02/2021,nation,E92000001,England,11_15,294
22/02/2021,nation,E92000001,England,11_15,372
21/02/2021,nation,E92000001,England,11_15,237
20/02/2021,nation,E92000001,England,11_15,264
19/02/2021,nation,E92000001,England,11_15,315
18/02/2021,nation,E92000001,England,11_15,315
17/02/2021,nation,E92000001,England,11_15,319
16/02/2021,nation,E92000001,England,11_15,313
15/02/2021,nation,E92000001,England,11_15,365
14/02/2021,nation,E92000001,England,11_15,249
13/02/2021,nation,E92000001,England,11_15,278
12/02/2021,nation,E92000001,England,11_15,360
11/02/2021,nation,E92000001,England,11_15,403
10/02/2021,nation,E92000001,England,11_15,370
09/02/2021,nation,E92000001,England,11_15,404
08/02/2021,nation,E92000001,England,11_15,459
07/02/2021,nation,E92000001,England,11_15,356
06/02/2021,nation,E92000001,England,11_15,381
05/02/2021,nation,E92000001,England,11_15,480
04/02/2021,nation,E92000001,England,11_15,659
03/02/2021,nation,E92000001,England,11_15,571
02/02/2021,nation,E92000001,England,11_15,572
01/02/2021,nation,E92000001,England,11_15,627
31/01/2021,nation,E92000001,England,11_15,443
30/01/2021,nation,E92000001,England,11_15,495
29/01/2021,nation,E92000001,England,11_15,689
