Time,Rate,Lower,Upper
2020-05-09,0.4,0.15,0.88
2020-05-23,0.24,0.07,0.6
2020-06-06,0.13,0.01,0.52
2020-06-20,0.05,0,0.27
2020-07-04,0,0,0.15
2020-07-18,0.12,0.01,0.54
2020-08-01,0.03,0,0.16
2020-08-15,0.13,0.05,0.29
2020-08-29,0.14,0.05,0.29
2020-09-12,0.23,0.14,0.36
2020-09-26,0.55,0.42,0.7
2020-10-10,0.98,0.82,1.16
2020-10-14,1.45,1.26,1.66
2020-11-07,1.74,1.52,1.98
2020-11-21,1.54,1.34,1.77
2020-12-05,1.29,1.1,1.5
2020-12-19,1.52,1.32,1.76
2021-01-02,2.76,2.47,3.06
2021-01-16,2.65,2.37,2.95
2021-01-30,1.66,1.43,1.91
2021-02-13,1.17,0.98,1.37
2021-02-27,0.54,0.41,0.69
2021-03-13,0.34,0.24,0.47
2021-03-27,0.29,0.2,0.42
2021-04-10,0.17,0.09,0.28
2021-04-14,0.11,0.06,0.2
2021-05-08,0.12,0.06,0.2
2021-05-22,0.13,0.06,0.23
2021-06-05,0.35,0.24,0.48
2021-06-19,0.46,0.33,0.63
2021-07-03,1.19,0.98,1.43
