Time,Rate,Lower,Upper
2020-05-09,0.48,0.11,1.33
2020-05-23,0.14,0.02,0.52
2020-06-06,0.2,0.02,0.74
2020-06-20,0.16,0,0.9
2020-07-04,0.03,0,0.19
2020-07-18,0.05,0,0.28
2020-08-01,0.07,0.01,0.25
2020-08-15,0.16,0.02,0.52
2020-08-29,0.25,0.1,0.5
2020-09-12,0.49,0.31,0.75
2020-09-26,1.81,1.51,2.16
2020-10-10,2.78,2.44,3.15
2020-10-14,2.93,2.56,3.33
2020-11-07,2.34,2.01,2.7
2020-11-21,2.07,1.78,2.4
2020-12-05,1.43,1.17,1.71
2020-12-19,1.74,1.43,2.08
2021-01-02,3.07,2.68,3.49
2021-01-16,2.75,2.39,3.16
2021-01-30,1.76,1.47,2.09
2021-02-13,0.96,0.75,1.2
2021-02-27,0.68,0.5,0.91
2021-03-13,0.34,0.21,0.5
2021-03-27,0.37,0.23,0.56
2021-04-10,0.12,0.05,0.24
2021-04-14,0.21,0.1,0.36
2021-05-08,0.18,0.09,0.31
2021-05-22,0.27,0.16,0.44
2021-06-05,0.46,0.3,0.68
2021-06-19,1.27,0.98,1.61
2021-07-03,2.72,2.28,3.21
