Time,Rate,Lower,Upper
2020-05-09,0.44,0.14,1.03
2020-05-23,0.14,0.03,0.42
2020-06-06,0,0,0.18
2020-06-20,0.06,0,0.31
2020-07-04,0,0,0.15
2020-07-18,0.09,0.01,0.34
2020-08-01,0.04,0,0.2
2020-08-15,0.04,0,0.14
2020-08-29,0.12,0.05,0.23
2020-09-12,0.26,0.15,0.43
2020-09-26,0.32,0.21,0.45
2020-10-10,0.63,0.49,0.79
2020-10-14,1.21,1.01,1.44
2020-11-07,1.51,1.28,1.77
2020-11-21,1.47,1.26,1.71
2020-12-05,1.47,1.25,1.72
2020-12-19,2.2,1.91,2.52
2021-01-02,2.06,1.8,2.35
2021-01-16,2.33,2.05,2.63
2021-01-30,1.48,1.25,1.73
2021-02-13,0.74,0.58,0.92
2021-02-27,0.47,0.34,0.62
2021-03-13,0.4,0.29,0.55
2021-03-27,0.55,0.4,0.74
2021-04-10,0.3,0.19,0.46
2021-04-14,0.08,0.04,0.16
2021-05-08,0.11,0.05,0.2
2021-05-22,0.15,0.08,0.26
2021-06-05,0.15,0.08,0.27
2021-06-19,0.35,0.24,0.51
2021-07-03,1.17,0.94,1.43
