date,areaType,areaCode,areaName,age,cases
15/07/2021,nation,E92000001,England,02_10,3364
14/07/2021,nation,E92000001,England,02_10,3292
13/07/2021,nation,E92000001,England,02_10,3213
12/07/2021,nation,E92000001,England,02_10,3450
11/07/2021,nation,E92000001,England,02_10,2286
10/07/2021,nation,E92000001,England,02_10,2174
09/07/2021,nation,E92000001,England,02_10,2386
08/07/2021,nation,E92000001,England,02_10,2376
07/07/2021,nation,E92000001,England,02_10,2616
06/07/2021,nation,E92000001,England,02_10,2662
05/07/2021,nation,E92000001,England,02_10,2852
04/07/2021,nation,E92000001,England,02_10,1924
03/07/2021,nation,E92000001,England,02_10,1744
02/07/2021,nation,E92000001,England,02_10,2033
01/07/2021,nation,E92000001,England,02_10,2067
30/06/2021,nation,E92000001,England,02_10,2186
29/06/2021,nation,E92000001,England,02_10,2133
28/06/2021,nation,E92000001,England,02_10,2353
27/06/2021,nation,E92000001,England,02_10,1385
26/06/2021,nation,E92000001,England,02_10,1205
25/06/2021,nation,E92000001,England,02_10,1343
24/06/2021,nation,E92000001,England,02_10,1301
23/06/2021,nation,E92000001,England,02_10,1273
22/06/2021,nation,E92000001,England,02_10,1109
21/06/2021,nation,E92000001,England,02_10,1172
20/06/2021,nation,E92000001,England,02_10,700
19/06/2021,nation,E92000001,England,02_10,538
18/06/2021,nation,E92000001,England,02_10,673
17/06/2021,nation,E92000001,England,02_10,725
16/06/2021,nation,E92000001,England,02_10,671
15/06/2021,nation,E92000001,England,02_10,714
14/06/2021,nation,E92000001,England,02_10,677
13/06/2021,nation,E92000001,England,02_10,480
12/06/2021,nation,E92000001,England,02_10,343
11/06/2021,nation,E92000001,England,02_10,412
10/06/2021,nation,E92000001,England,02_10,384
09/06/2021,nation,E92000001,England,02_10,389
08/06/2021,nation,E92000001,England,02_10,429
07/06/2021,nation,E92000001,England,02_10,477
06/06/2021,nation,E92000001,England,02_10,316
05/06/2021,nation,E92000001,England,02_10,264
04/06/2021,nation,E92000001,England,02_10,271
03/06/2021,nation,E92000001,England,02_10,300
02/06/2021,nation,E92000001,England,02_10,292
01/06/2021,nation,E92000001,England,02_10,298
31/05/2021,nation,E92000001,England,02_10,248
30/05/2021,nation,E92000001,England,02_10,231
29/05/2021,nation,E92000001,England,02_10,242
28/05/2021,nation,E92000001,England,02_10,272
27/05/2021,nation,E92000001,England,02_10,299
26/05/2021,nation,E92000001,England,02_10,305
25/05/2021,nation,E92000001,England,02_10,296
24/05/2021,nation,E92000001,England,02_10,331
23/05/2021,nation,E92000001,England,02_10,174
22/05/2021,nation,E92000001,England,02_10,161
21/05/2021,nation,E92000001,England,02_10,214
20/05/2021,nation,E92000001,England,02_10,184
19/05/2021,nation,E92000001,England,02_10,256
18/05/2021,nation,E92000001,England,02_10,283
17/05/2021,nation,E92000001,England,02_10,278
16/05/2021,nation,E92000001,England,02_10,146
15/05/2021,nation,E92000001,England,02_10,120
14/05/2021,nation,E92000001,England,02_10,166
13/05/2021,nation,E92000001,England,02_10,142
12/05/2021,nation,E92000001,England,02_10,176
11/05/2021,nation,E92000001,England,02_10,154
10/05/2021,nation,E92000001,England,02_10,235
09/05/2021,nation,E92000001,England,02_10,183
08/05/2021,nation,E92000001,England,02_10,123
07/05/2021,nation,E92000001,England,02_10,137
06/05/2021,nation,E92000001,England,02_10,153
05/05/2021,nation,E92000001,England,02_10,207
04/05/2021,nation,E92000001,England,02_10,202
03/05/2021,nation,E92000001,England,02_10,152
02/05/2021,nation,E92000001,England,02_10,115
01/05/2021,nation,E92000001,England,02_10,111
30/04/2021,nation,E92000001,England,02_10,123
