date,areaType,areaCode,areaName,age,cases
15/07/2021,nation,E92000001,England,50_69,5850
14/07/2021,nation,E92000001,England,50_69,5057
13/07/2021,nation,E92000001,England,50_69,4400
12/07/2021,nation,E92000001,England,50_69,4631
11/07/2021,nation,E92000001,England,50_69,3284
10/07/2021,nation,E92000001,England,50_69,2844
09/07/2021,nation,E92000001,England,50_69,3138
08/07/2021,nation,E92000001,England,50_69,3091
07/07/2021,nation,E92000001,England,50_69,3228
06/07/2021,nation,E92000001,England,50_69,2942
05/07/2021,nation,E92000001,England,50_69,2868
04/07/2021,nation,E92000001,England,50_69,2186
03/07/2021,nation,E92000001,England,50_69,1998
02/07/2021,nation,E92000001,England,50_69,2176
01/07/2021,nation,E92000001,England,50_69,2256
30/06/2021,nation,E92000001,England,50_69,2034
29/06/2021,nation,E92000001,England,50_69,2029
28/06/2021,nation,E92000001,England,50_69,2031
27/06/2021,nation,E92000001,England,50_69,1361
26/06/2021,nation,E92000001,England,50_69,1201
25/06/2021,nation,E92000001,England,50_69,1261
24/06/2021,nation,E92000001,England,50_69,1326
23/06/2021,nation,E92000001,England,50_69,1214
22/06/2021,nation,E92000001,England,50_69,1129
21/06/2021,nation,E92000001,England,50_69,1144
20/06/2021,nation,E92000001,England,50_69,774
19/06/2021,nation,E92000001,England,50_69,640
18/06/2021,nation,E92000001,England,50_69,723
17/06/2021,nation,E92000001,England,50_69,867
16/06/2021,nation,E92000001,England,50_69,786
15/06/2021,nation,E92000001,England,50_69,725
14/06/2021,nation,E92000001,England,50_69,885
13/06/2021,nation,E92000001,England,50_69,622
12/06/2021,nation,E92000001,England,50_69,572
11/06/2021,nation,E92000001,England,50_69,658
10/06/2021,nation,E92000001,England,50_69,654
09/06/2021,nation,E92000001,England,50_69,669
08/06/2021,nation,E92000001,England,50_69,582
07/06/2021,nation,E92000001,England,50_69,685
06/06/2021,nation,E92000001,England,50_69,511
05/06/2021,nation,E92000001,England,50_69,410
04/06/2021,nation,E92000001,England,50_69,529
03/06/2021,nation,E92000001,England,50_69,504
02/06/2021,nation,E92000001,England,50_69,530
01/06/2021,nation,E92000001,England,50_69,486
31/05/2021,nation,E92000001,England,50_69,372
30/05/2021,nation,E92000001,England,50_69,325
29/05/2021,nation,E92000001,England,50_69,246
28/05/2021,nation,E92000001,England,50_69,348
27/05/2021,nation,E92000001,England,50_69,323
26/05/2021,nation,E92000001,England,50_69,340
25/05/2021,nation,E92000001,England,50_69,283
24/05/2021,nation,E92000001,England,50_69,321
23/05/2021,nation,E92000001,England,50_69,239
22/05/2021,nation,E92000001,England,50_69,215
21/05/2021,nation,E92000001,England,50_69,243
20/05/2021,nation,E92000001,England,50_69,266
19/05/2021,nation,E92000001,England,50_69,242
18/05/2021,nation,E92000001,England,50_69,243
17/05/2021,nation,E92000001,England,50_69,286
16/05/2021,nation,E92000001,England,50_69,198
15/05/2021,nation,E92000001,England,50_69,159
14/05/2021,nation,E92000001,England,50_69,193
13/05/2021,nation,E92000001,England,50_69,247
12/05/2021,nation,E92000001,England,50_69,231
11/05/2021,nation,E92000001,England,50_69,248
10/05/2021,nation,E92000001,England,50_69,271
09/05/2021,nation,E92000001,England,50_69,252
08/05/2021,nation,E92000001,England,50_69,169
07/05/2021,nation,E92000001,England,50_69,191
06/05/2021,nation,E92000001,England,50_69,267
05/05/2021,nation,E92000001,England,50_69,274
04/05/2021,nation,E92000001,England,50_69,275
03/05/2021,nation,E92000001,England,50_69,243
02/05/2021,nation,E92000001,England,50_69,174
01/05/2021,nation,E92000001,England,50_69,164
30/04/2021,nation,E92000001,England,50_69,237
29/04/2021,nation,E92000001,England,50_69,261
28/04/2021,nation,E92000001,England,50_69,251
27/04/2021,nation,E92000001,England,50_69,230
26/04/2021,nation,E92000001,England,50_69,325
25/04/2021,nation,E92000001,England,50_69,242
24/04/2021,nation,E92000001,England,50_69,185
23/04/2021,nation,E92000001,England,50_69,244
22/04/2021,nation,E92000001,England,50_69,307
21/04/2021,nation,E92000001,England,50_69,298
20/04/2021,nation,E92000001,England,50_69,268
19/04/2021,nation,E92000001,England,50_69,341
18/04/2021,nation,E92000001,England,50_69,250
17/04/2021,nation,E92000001,England,50_69,203
16/04/2021,nation,E92000001,England,50_69,280
15/04/2021,nation,E92000001,England,50_69,272
14/04/2021,nation,E92000001,England,50_69,308
13/04/2021,nation,E92000001,England,50_69,314
12/04/2021,nation,E92000001,England,50_69,357
11/04/2021,nation,E92000001,England,50_69,275
10/04/2021,nation,E92000001,England,50_69,315
09/04/2021,nation,E92000001,England,50_69,399
08/04/2021,nation,E92000001,England,50_69,382
07/04/2021,nation,E92000001,England,50_69,388
06/04/2021,nation,E92000001,England,50_69,441
05/04/2021,nation,E92000001,England,50_69,349
04/04/2021,nation,E92000001,England,50_69,274
03/04/2021,nation,E92000001,England,50_69,328
02/04/2021,nation,E92000001,England,50_69,358
01/04/2021,nation,E92000001,England,50_69,479
31/03/2021,nation,E92000001,England,50_69,499
30/03/2021,nation,E92000001,England,50_69,477
