date,areaType,areaCode,areaName,age,cases
02/03/2021,nation,E92000001,England,35_49,1460
01/03/2021,nation,E92000001,England,35_49,1567
28/02/2021,nation,E92000001,England,35_49,1068
27/02/2021,nation,E92000001,England,35_49,1087
26/02/2021,nation,E92000001,England,35_49,1421
25/02/2021,nation,E92000001,England,35_49,1650
24/02/2021,nation,E92000001,England,35_49,1923
23/02/2021,nation,E92000001,England,35_49,2083
22/02/2021,nation,E92000001,England,35_49,2540
21/02/2021,nation,E92000001,England,35_49,1847
20/02/2021,nation,E92000001,England,35_49,1782
19/02/2021,nation,E92000001,England,35_49,2230
18/02/2021,nation,E92000001,England,35_49,2584
17/02/2021,nation,E92000001,England,35_49,2653
16/02/2021,nation,E92000001,England,35_49,2836
15/02/2021,nation,E92000001,England,35_49,3215
14/02/2021,nation,E92000001,England,35_49,1980
13/02/2021,nation,E92000001,England,35_49,1993
12/02/2021,nation,E92000001,England,35_49,2637
11/02/2021,nation,E92000001,England,35_49,2711
10/02/2021,nation,E92000001,England,35_49,3021
09/02/2021,nation,E92000001,England,35_49,3058
08/02/2021,nation,E92000001,England,35_49,3602
07/02/2021,nation,E92000001,England,35_49,2604
06/02/2021,nation,E92000001,England,35_49,2647
05/02/2021,nation,E92000001,England,35_49,3509
04/02/2021,nation,E92000001,England,35_49,3906
03/02/2021,nation,E92000001,England,35_49,4415
02/02/2021,nation,E92000001,England,35_49,4369
01/02/2021,nation,E92000001,England,35_49,5033
31/01/2021,nation,E92000001,England,35_49,3594
30/01/2021,nation,E92000001,England,35_49,3847
29/01/2021,nation,E92000001,England,35_49,4810
28/01/2021,nation,E92000001,England,35_49,5458
27/01/2021,nation,E92000001,England,35_49,5903
26/01/2021,nation,E92000001,England,35_49,6068
25/01/2021,nation,E92000001,England,35_49,6724
24/01/2021,nation,E92000001,England,35_49,3976
23/01/2021,nation,E92000001,England,35_49,5098
22/01/2021,nation,E92000001,England,35_49,6675
21/01/2021,nation,E92000001,England,35_49,7105
20/01/2021,nation,E92000001,England,35_49,7811
19/01/2021,nation,E92000001,England,35_49,8825
18/01/2021,nation,E92000001,England,35_49,10235
17/01/2021,nation,E92000001,England,35_49,6584
16/01/2021,nation,E92000001,England,35_49,6895
15/01/2021,nation,E92000001,England,35_49,9043
14/01/2021,nation,E92000001,England,35_49,9384
13/01/2021,nation,E92000001,England,35_49,10081
12/01/2021,nation,E92000001,England,35_49,10862
11/01/2021,nation,E92000001,England,35_49,12820
10/01/2021,nation,E92000001,England,35_49,8070
09/01/2021,nation,E92000001,England,35_49,8616
08/01/2021,nation,E92000001,England,35_49,9826
07/01/2021,nation,E92000001,England,35_49,10886
06/01/2021,nation,E92000001,England,35_49,12193
05/01/2021,nation,E92000001,England,35_49,13587
04/01/2021,nation,E92000001,England,35_49,16726
03/01/2021,nation,E92000001,England,35_49,12502
02/01/2021,nation,E92000001,England,35_49,13801
01/01/2021,nation,E92000001,England,35_49,7139
31/12/2020,nation,E92000001,England,35_49,11817
30/12/2020,nation,E92000001,England,35_49,15943
29/12/2020,nation,E92000001,England,35_49,18560
28/12/2020,nation,E92000001,England,35_49,10467
27/12/2020,nation,E92000001,England,35_49,11541
26/12/2020,nation,E92000001,England,35_49,10318
25/12/2020,nation,E92000001,England,35_49,3556
24/12/2020,nation,E92000001,England,35_49,7849
23/12/2020,nation,E92000001,England,35_49,9996
22/12/2020,nation,E92000001,England,35_49,10664
21/12/2020,nation,E92000001,England,35_49,11392
20/12/2020,nation,E92000001,England,35_49,7591
19/12/2020,nation,E92000001,England,35_49,5662
18/12/2020,nation,E92000001,England,35_49,8284
17/12/2020,nation,E92000001,England,35_49,7699
16/12/2020,nation,E92000001,England,35_49,7559
15/12/2020,nation,E92000001,England,35_49,7254
14/12/2020,nation,E92000001,England,35_49,7437
13/12/2020,nation,E92000001,England,35_49,4718
12/12/2020,nation,E92000001,England,35_49,4182
11/12/2020,nation,E92000001,England,35_49,5011
10/12/2020,nation,E92000001,England,35_49,4816
09/12/2020,nation,E92000001,England,35_49,4244
08/12/2020,nation,E92000001,England,35_49,4119
07/12/2020,nation,E92000001,England,35_49,4412
06/12/2020,nation,E92000001,England,35_49,2849
05/12/2020,nation,E92000001,England,35_49,2528
04/12/2020,nation,E92000001,England,35_49,3079
03/12/2020,nation,E92000001,England,35_49,3210
02/12/2020,nation,E92000001,England,35_49,3371
01/12/2020,nation,E92000001,England,35_49,3174
30/11/2020,nation,E92000001,England,35_49,3630
29/11/2020,nation,E92000001,England,35_49,2306
28/11/2020,nation,E92000001,England,35_49,2287
27/11/2020,nation,E92000001,England,35_49,2896
26/11/2020,nation,E92000001,England,35_49,2972
25/11/2020,nation,E92000001,England,35_49,3387
24/11/2020,nation,E92000001,England,35_49,3391
23/11/2020,nation,E92000001,England,35_49,3915
22/11/2020,nation,E92000001,England,35_49,2530
21/11/2020,nation,E92000001,England,35_49,2564
20/11/2020,nation,E92000001,England,35_49,3471
19/11/2020,nation,E92000001,England,35_49,3676
18/11/2020,nation,E92000001,England,35_49,4326
17/11/2020,nation,E92000001,England,35_49,4768
16/11/2020,nation,E92000001,England,35_49,5612
15/11/2020,nation,E92000001,England,35_49,3455
14/11/2020,nation,E92000001,England,35_49,3890
13/11/2020,nation,E92000001,England,35_49,5093
12/11/2020,nation,E92000001,England,35_49,5129
11/11/2020,nation,E92000001,England,35_49,5630
10/11/2020,nation,E92000001,England,35_49,5581
09/11/2020,nation,E92000001,England,35_49,6459
08/11/2020,nation,E92000001,England,35_49,4248
07/11/2020,nation,E92000001,England,35_49,4056
06/11/2020,nation,E92000001,England,35_49,4865
05/11/2020,nation,E92000001,England,35_49,4794
04/11/2020,nation,E92000001,England,35_49,4748
03/11/2020,nation,E92000001,England,35_49,5339
02/11/2020,nation,E92000001,England,35_49,6829
01/11/2020,nation,E92000001,England,35_49,3451
31/10/2020,nation,E92000001,England,35_49,3565
30/10/2020,nation,E92000001,England,35_49,4548
29/10/2020,nation,E92000001,England,35_49,4788
28/10/2020,nation,E92000001,England,35_49,4820
27/10/2020,nation,E92000001,England,35_49,4824
26/10/2020,nation,E92000001,England,35_49,5464
25/10/2020,nation,E92000001,England,35_49,3160
24/10/2020,nation,E92000001,England,35_49,3229
23/10/2020,nation,E92000001,England,35_49,4087
22/10/2020,nation,E92000001,England,35_49,4443
21/10/2020,nation,E92000001,England,35_49,4919
20/10/2020,nation,E92000001,England,35_49,4817
19/10/2020,nation,E92000001,England,35_49,5166
18/10/2020,nation,E92000001,England,35_49,2744
17/10/2020,nation,E92000001,England,35_49,2783
16/10/2020,nation,E92000001,England,35_49,3104
15/10/2020,nation,E92000001,England,35_49,3168
14/10/2020,nation,E92000001,England,35_49,3469
13/10/2020,nation,E92000001,England,35_49,3091
12/10/2020,nation,E92000001,England,35_49,3387
11/10/2020,nation,E92000001,England,35_49,1928
10/10/2020,nation,E92000001,England,35_49,2059
09/10/2020,nation,E92000001,England,35_49,2422
08/10/2020,nation,E92000001,England,35_49,2834
07/10/2020,nation,E92000001,England,35_49,2728
06/10/2020,nation,E92000001,England,35_49,2652
05/10/2020,nation,E92000001,England,35_49,2622
04/10/2020,nation,E92000001,England,35_49,1764
03/10/2020,nation,E92000001,England,35_49,1727
02/10/2020,nation,E92000001,England,35_49,1908
01/10/2020,nation,E92000001,England,35_49,1871
30/09/2020,nation,E92000001,England,35_49,1725
29/09/2020,nation,E92000001,England,35_49,1484
28/09/2020,nation,E92000001,England,35_49,1681
27/09/2020,nation,E92000001,England,35_49,1140
26/09/2020,nation,E92000001,England,35_49,1111
25/09/2020,nation,E92000001,England,35_49,1262
24/09/2020,nation,E92000001,England,35_49,1340
