date,areaType,areaCode,areaName,age,cases
15/07/2021,nation,E92000001,England,25_34,15102
14/07/2021,nation,E92000001,England,25_34,12684
13/07/2021,nation,E92000001,England,25_34,10245
12/07/2021,nation,E92000001,England,25_34,8534
11/07/2021,nation,E92000001,England,25_34,5742
10/07/2021,nation,E92000001,England,25_34,5372
09/07/2021,nation,E92000001,England,25_34,6150
08/07/2021,nation,E92000001,England,25_34,6744
07/07/2021,nation,E92000001,England,25_34,7950
06/07/2021,nation,E92000001,England,25_34,6953
05/07/2021,nation,E92000001,England,25_34,6099
04/07/2021,nation,E92000001,England,25_34,4176
03/07/2021,nation,E92000001,England,25_34,3996
02/07/2021,nation,E92000001,England,25_34,4259
01/07/2021,nation,E92000001,England,25_34,4730
30/06/2021,nation,E92000001,England,25_34,4674
29/06/2021,nation,E92000001,England,25_34,4439
28/06/2021,nation,E92000001,England,25_34,4064
27/06/2021,nation,E92000001,England,25_34,2690
26/06/2021,nation,E92000001,England,25_34,2511
25/06/2021,nation,E92000001,England,25_34,2673
24/06/2021,nation,E92000001,England,25_34,2963
23/06/2021,nation,E92000001,England,25_34,2971
22/06/2021,nation,E92000001,England,25_34,2724
21/06/2021,nation,E92000001,England,25_34,2459
20/06/2021,nation,E92000001,England,25_34,1470
19/06/2021,nation,E92000001,England,25_34,1345
18/06/2021,nation,E92000001,England,25_34,1757
17/06/2021,nation,E92000001,England,25_34,1970
16/06/2021,nation,E92000001,England,25_34,1994
15/06/2021,nation,E92000001,England,25_34,1899
14/06/2021,nation,E92000001,England,25_34,1804
13/06/2021,nation,E92000001,England,25_34,1170
12/06/2021,nation,E92000001,England,25_34,1140
11/06/2021,nation,E92000001,England,25_34,1456
10/06/2021,nation,E92000001,England,25_34,1554
09/06/2021,nation,E92000001,England,25_34,1569
08/06/2021,nation,E92000001,England,25_34,1521
07/06/2021,nation,E92000001,England,25_34,1567
06/06/2021,nation,E92000001,England,25_34,1000
05/06/2021,nation,E92000001,England,25_34,894
04/06/2021,nation,E92000001,England,25_34,1204
03/06/2021,nation,E92000001,England,25_34,1258
02/06/2021,nation,E92000001,England,25_34,1242
01/06/2021,nation,E92000001,England,25_34,1037
31/05/2021,nation,E92000001,England,25_34,644
30/05/2021,nation,E92000001,England,25_34,509
29/05/2021,nation,E92000001,England,25_34,507
28/05/2021,nation,E92000001,England,25_34,566
27/05/2021,nation,E92000001,England,25_34,598
26/05/2021,nation,E92000001,England,25_34,619
25/05/2021,nation,E92000001,England,25_34,556
24/05/2021,nation,E92000001,England,25_34,464
23/05/2021,nation,E92000001,England,25_34,298
22/05/2021,nation,E92000001,England,25_34,295
21/05/2021,nation,E92000001,England,25_34,328
20/05/2021,nation,E92000001,England,25_34,340
19/05/2021,nation,E92000001,England,25_34,372
18/05/2021,nation,E92000001,England,25_34,396
17/05/2021,nation,E92000001,England,25_34,382
16/05/2021,nation,E92000001,England,25_34,251
15/05/2021,nation,E92000001,England,25_34,249
14/05/2021,nation,E92000001,England,25_34,276
13/05/2021,nation,E92000001,England,25_34,315
12/05/2021,nation,E92000001,England,25_34,353
11/05/2021,nation,E92000001,England,25_34,332
