Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
138,48,0.0,0.0,0.0,0.0
139,47,0.0,0.0,0.0,0.0
140,41,0.0,0.0,0.0,0.0
141,98,0.0,0.0,0.0,0.0
142,81,0.0,0.0,0.0,0.0
143,80,0.0,0.0,0.0,0.0
144,70,0.0,0.0,0.0,0.0
145,83,0.0,0.0,0.0,0.0
146,56,0.0,0.0,0.0,0.0
147,65,0.0,0.0,0.0,0.0
148,100,0.0,0.0,0.0,0.0
149,100,0.0,0.0,0.0,0.0
150,99,0.0,0.0,0.0,0.0
151,102,0.0,0.0,0.0,0.0
152,73,0.0,0.0,0.0,0.0
153,58,0.0,0.0,0.0,0.0
154,75,0.0,0.0,0.0,0.0
155,88,0.0,0.0,0.0,0.0
156,105,0.0,0.0,0.0,0.0
157,113,0.0,0.0,0.0,0.0
158,104,0.0,0.0,0.0,0.0
159,121,0.0,0.0,0.0,0.0
160,55,0.0,0.0,0.0,0.0
161,67,0.0,0.0,0.0,0.0
162,143,0.0,0.0,0.0,0.0
163,149,0.0,0.0,0.0,0.0
164,161,0.0,0.0,0.0,0.0
165,124,0.0,0.0,0.0,0.0
166,126,0.0,0.0,0.0,0.0
167,107,0.0,0.0,0.0,0.0
168,88,0.0,0.0,0.0,0.0
169,189,0.0,0.0,0.0,0.0
170,181,0.0,0.0,0.0,0.0
171,153,0.0,0.0,0.0,0.0
172,204,0.0,0.0,0.0,0.0
173,167,0.0,0.0,0.0,0.0
174,119,0.0,0.0,0.0,0.0
175,145,0.0,0.0,0.0,0.0
176,195,0.0,0.0,0.0,0.0
177,170,0.0,0.0,0.0,0.0
178,165,0.0,0.0,0.0,0.0
179,229,0.0,0.0,0.0,0.0
180,220,0.0,0.0,0.0,0.0
181,139,0.0,0.0,0.0,0.0
182,133,0.0,0.0,0.0,0.0
183,216,0.0,0.0,0.0,0.0
184,314,0.0,0.0,0.0,0.0
185,333,0.0,0.0,0.0,0.0
186,347,0.0,0.0,0.0,0.0
187,356,0.0,0.0,0.0,0.0
188,272,0.0,0.0,0.0,0.0
189,203,0.0,0.0,0.0,0.0
190,463,0.0,0.0,0.0,0.0
191,343,0.0,0.0,0.0,0.0
192,345,0.0,0.0,0.0,0.0
193,391,0.0,0.0,0.0,0.0
194,333,0.0,0.0,0.0,0.0
195,229,0.0,0.0,0.0,0.0
196,114,0.0,0.0,0.0,0.0
197,298,0.0,0.0,0.0,0.0
198,269,0.0,0.0,0.0,0.0
199,292,0.0,0.0,0.0,0.0
200,322,0.0,0.0,0.0,0.0
201,387,0.0,0.0,0.0,0.0
202,338,0.0,0.0,0.0,0.0
203,410,0.0,26.7,0.0,0.0
204,427,0.0,26.714285714285715,0.42857142857142855,0.0
205,521,0.0,26.72857142857143,0.8571428571428571,0.0
206,657,0.0,26.742857142857147,1.2857142857142856,0.0
207,598,0.0,26.757142857142863,1.7142857142857142,0.0
208,603,0.0,26.77142857142858,2.142857142857143,0.0
209,547,0.0,26.785714285714295,2.571428571428571,0.0
210,530,0.0,26.80000000000001,2.9999999999999996,0.0
211,746,0.0,27.014285714285727,2.9999999999999996,0.0
212,704,0.0,27.228571428571442,2.9999999999999996,0.0
213,993,0.0,27.442857142857157,2.9999999999999996,0.0
214,1079,0.0,27.657142857142873,2.9999999999999996,0.0
215,1039,0.0,27.871428571428588,2.9999999999999996,0.0
216,793,0.0,28.085714285714303,2.9999999999999996,0.0
217,824,0.0,28.30000000000002,2.9999999999999996,0.0
218,1296,0.0,28.014285714285734,3.428571428571428,0.0
219,1179,0.0,27.72857142857145,3.8571428571428563,0.0
220,1418,0.0,27.442857142857164,4.285714285714285,0.0
221,1488,0.0,27.15714285714288,4.7142857142857135,0.0
222,1350,0.0,26.871428571428595,5.142857142857142,0.0
223,877,0.0,26.58571428571431,5.571428571428571,0.0
224,743,0.0,26.300000000000026,6.0,0.0
225,1576,0.0,26.51428571428574,6.285714285714286,0.0
226,1430,0.0,26.728571428571456,6.571428571428571,0.0
227,1624,0.0,26.94285714285717,6.857142857142857,0.0
228,1720,0.0,27.157142857142887,7.142857142857142,0.0
229,1656,0.0,27.371428571428602,7.428571428571428,0.0
230,1107,0.0,27.585714285714317,7.7142857142857135,0.0
231,1297,0.0,27.800000000000033,7.999999999999999,0.0
232,2336,0.0,27.642857142857174,7.285714285714285,0.0
233,2317,0.0,27.485714285714316,6.57142857142857,0.0
234,2347,0.0,27.328571428571458,5.857142857142856,0.0
235,2173,0.0,27.1714285714286,5.1428571428571415,0.0
236,2007,0.0,27.01428571428574,4.428571428571427,0.0
237,1436,0.0,26.857142857142883,3.7142857142857126,0.0
238,1291,0.0,26.700000000000024,2.9999999999999982,0.0
239,2525,0.0,26.728571428571453,3.9999999999999982,0.0
240,2086,0.0,26.75714285714288,4.999999999999998,0.0
241,1968,0.0,26.78571428571431,5.999999999999998,0.0
242,2009,0.0,26.814285714285738,6.999999999999998,0.0
243,1869,0.0,26.842857142857167,7.999999999999998,0.0
244,1384,0.0,26.871428571428595,8.999999999999998,0.0
245,1203,0.2,26.900000000000023,9.999999999999998,0.0
246,2914,0.20801393728222997,26.871428571428595,9.428571428571427,0.0
247,2124,0.21602787456445993,26.842857142857167,8.857142857142856,0.0
248,2045,0.2240418118466899,26.814285714285738,8.285714285714285,0.0
249,2089,0.23205574912891985,26.78571428571431,7.7142857142857135,0.0
250,2115,0.2400696864111498,26.75714285714288,7.142857142857142,0.0
251,1648,0.24808362369337977,26.728571428571453,6.571428571428571,0.0
252,1756,0.25609756097560976,26.700000000000024,6.0,0.0
253,3078,0.2589210621170251,26.78571428571431,5.285714285714286,0.0
254,2721,0.2617445632584404,26.871428571428595,4.571428571428571,0.0
255,2906,0.26456806439985575,26.95714285714288,3.8571428571428568,0.0
256,2835,0.2673915655412711,27.042857142857166,3.1428571428571423,0.0
257,2691,0.2702150666826864,27.12857142857145,2.428571428571428,0.0
258,1920,0.27303856782410174,27.214285714285737,1.7142857142857135,0.0
259,1794,0.27586206896551707,27.300000000000022,0.9999999999999992,0.0
260,3073,0.29042145593869717,27.171428571428592,1.5714285714285707,0.0
261,2555,0.30498084291187727,27.042857142857162,2.1428571428571423,0.0
262,2453,0.31954022988505737,26.914285714285732,2.7142857142857135,0.0
263,2179,0.33409961685823747,26.785714285714302,3.2857142857142847,0.0
264,2107,0.34865900383141757,26.657142857142873,3.857142857142856,0.0
265,1476,0.36321839080459767,26.528571428571443,4.428571428571427,0.0
266,1479,0.37777777777777777,26.400000000000013,4.999999999999998,0.0
267,2386,0.3926563396442914,26.32857142857144,4.999999999999998,0.0
268,2149,0.40753490151080507,26.257142857142867,4.999999999999998,0.0
269,2234,0.4224134633773187,26.185714285714294,4.999999999999998,0.0
270,2062,0.43729202524383237,26.11428571428572,4.999999999999998,0.0
271,2192,0.452170587110346,26.042857142857148,4.999999999999998,0.0
272,1637,0.4670491489768597,25.971428571428575,4.999999999999998,0.0
273,1651,0.4819277108433733,25.900000000000002,4.999999999999998,0.0
274,2686,0.5083189902467009,25.742857142857144,4.714285714285713,0.0
275,2455,0.5347102696500285,25.585714285714285,4.428571428571427,0.0
276,2792,0.5611015490533562,25.428571428571427,4.1428571428571415,0.0
277,2449,0.5874928284566838,25.27142857142857,3.857142857142856,0.0
278,2910,0.6138841078600115,25.11428571428571,3.5714285714285703,0.0
279,2238,0.6402753872633391,24.957142857142852,3.2857142857142847,0.0
280,2420,0.6666666666666667,24.799999999999994,2.999999999999999,0.0
281,3706,0.6825396825396826,24.499999999999993,2.999999999999999,0.0
282,3692,0.6984126984126984,24.199999999999992,2.999999999999999,0.0
283,4401,0.7142857142857142,23.89999999999999,2.999999999999999,6.360195264689568e-05
284,4988,0.73015873015873,23.59999999999999,2.999999999999999,0.00016346817653982838
285,5464,0.7460317460317458,23.29999999999999,2.999999999999999,0.000323142552395456
286,4654,0.7619047619047616,22.99999999999999,2.999999999999999,0.0004837095872356014
287,5488,0.7777777777777775,22.69999999999999,2.999999999999999,0.0005804515046827217
288,8310,0.7880184331797232,22.728571428571417,2.8571428571428563,0.0005851379643514403
289,8809,0.7982590885816689,22.757142857142846,2.7142857142857135,0.000740237462911414
290,9962,0.8084997439836147,22.785714285714274,2.5714285714285707,0.0012888879912706878
291,10135,0.8187403993855604,22.814285714285703,2.428571428571428,0.0025473139946947045
292,10772,0.8289810547875062,22.84285714285713,2.285714285714285,0.0038532740890442957
293,7144,0.8392217101894519,22.87142857142856,2.1428571428571423,0.005005808420429884
294,8880,0.8494623655913977,22.899999999999988,1.9999999999999996,0.005792240985790096
295,13218,0.8558416915153156,23.185714285714273,1.9999999999999996,0.00679436227828443
296,13315,0.8622210174392336,23.471428571428557,1.9999999999999996,0.007650310662063968
297,12312,0.8686003433631516,23.757142857142842,1.9999999999999996,0.008429713537921102
298,9406,0.8749796692870696,24.042857142857127,1.9999999999999996,0.00911058917836208
299,4322,0.8813589952109876,24.32857142857141,1.9999999999999996,0.00936421591233821
300,11861,0.8877383211349056,24.614285714285696,1.9999999999999996,0.009385639727966638
301,13124,0.8941176470588236,24.89999999999998,1.9999999999999996,0.009476133032522134
302,10668,0.8971955047079073,25.142857142857125,2.1428571428571423,0.009587269076094604
303,19864,0.9002733623569911,25.38571428571427,2.285714285714285,0.009709005445108223
304,17301,0.9033512200060748,25.628571428571412,2.428571428571428,0.010496665416572147
305,12389,0.9064290776551586,25.871428571428556,2.5714285714285707,0.012154109986075636
306,6737,0.9095069353042423,26.1142857142857,2.7142857142857135,0.01353282178766343
307,13622,0.9125847929533261,26.357142857142843,2.8571428571428563,0.013862547700069705
308,13105,0.9156626506024098,26.599999999999987,2.999999999999999,0.014196625325025506
309,17220,0.9161278317904825,26.814285714285703,3.8571428571428563,0.014290019771280683
310,14527,0.9165930129785552,27.028571428571418,4.7142857142857135,0.014790243549729864
311,13535,0.9170581941666279,27.242857142857133,5.57142857142857,0.015903389303423603
312,12051,0.9175233753547006,27.45714285714285,6.428571428571427,0.017538963727806407
313,10516,0.9179885565427733,27.671428571428564,7.285714285714284,0.019935195189371466
314,8725,0.918453737730846,27.88571428571428,8.14285714285714,0.022886548956933556
315,7462,0.9189189189189187,28.099999999999994,8.999999999999998,0.02487941013986962
316,11535,0.9222203570029656,28.214285714285708,8.999999999999998,0.02615323451077657
317,9822,0.9255217950870124,28.328571428571422,8.999999999999998,0.027650223627812977
318,9306,0.9288232331710592,28.442857142857136,8.999999999999998,0.029694859031851078
319,8915,0.932124671255106,28.55714285714285,8.999999999999998,0.03312891814529118
320,8180,0.9354261093391528,28.671428571428564,8.999999999999998,0.037511315847408425
321,6160,0.9387275474231996,28.785714285714278,8.999999999999998,0.042025715496861245
322,5380,0.9420289855072465,28.89999999999999,8.999999999999998,0.045363590604719554
323,8291,0.9367051168293405,29.08571428571428,9.428571428571427,0.047239067131191526
324,6996,0.9313812481514346,29.271428571428565,9.857142857142856,0.04902427351785413
325,6237,0.9260573794735287,29.457142857142852,10.285714285714285,0.05287107582926067
326,5783,0.9207335107956228,29.64285714285714,10.714285714285714,0.05728906830838556
327,5563,0.9154096421177169,29.828571428571426,11.142857142857142,0.06155966047269194
328,4142,0.910085773439811,30.014285714285712,11.571428571428571,0.06685747996343222
329,3113,0.9047619047619051,30.2,12.0,0.0718487826753637
330,4956,0.9108485499462946,30.17142857142857,11.571428571428571,0.07442778606400878
331,4138,0.9169351951306841,30.142857142857142,11.142857142857142,0.07728217474937762
332,4201,0.9230218403150736,30.114285714285714,10.714285714285714,0.08089766680142098
