Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
158,113,0.0,0.0,0.0,0.0
159,106,0.0,0.0,0.0,0.0
160,75,0.0,0.0,0.0,0.0
161,76,0.0,0.0,0.0,0.0
162,157,0.0,0.0,0.0,0.0
163,163,0.0,0.0,0.0,0.0
164,132,0.0,0.0,0.0,0.0
165,117,0.0,0.0,0.0,0.0
166,171,0.0,0.0,0.0,0.0
167,95,0.0,0.0,0.0,0.0
168,73,0.0,0.0,0.0,0.0
169,138,0.0,0.0,0.0,0.0
170,110,0.0,0.0,0.0,0.0
171,118,0.0,0.0,0.0,0.0
172,163,0.0,0.0,0.0,0.0
173,105,0.0,0.0,0.0,0.0
174,76,0.0,0.0,0.0,0.0
175,82,0.0,0.0,0.0,0.0
176,136,0.0,0.0,0.0,0.0
177,143,0.0,0.0,0.0,0.0
178,124,0.0,0.0,0.0,0.0
179,143,0.0,0.0,0.0,0.0
180,152,0.0,0.0,0.0,0.0
181,112,0.0,0.0,0.0,0.0
182,94,0.0,0.0,0.0,0.0
183,128,0.0,0.0,0.0,0.0
184,255,0.0,0.0,0.0,0.0
185,345,0.0,0.0,0.0,0.0
186,364,0.0,0.0,0.0,0.0
187,434,0.0,0.0,0.0,0.0
188,305,0.0,0.0,0.0,0.0
189,319,0.0,0.0,0.0,0.0
190,485,0.0,0.0,0.0,0.0
191,431,0.0,0.0,0.0,0.0
192,385,0.0,0.0,0.0,0.0
193,383,0.0,0.0,0.0,0.0
194,360,0.0,0.0,0.0,0.0
195,290,0.0,0.0,0.0,0.0
196,216,0.0,0.0,0.0,0.0
197,324,0.0,0.0,0.0,0.0
198,359,0.0,0.0,0.0,0.0
199,456,0.0,0.0,0.0,0.0
200,508,0.0,0.0,0.0,0.0
201,581,0.0,0.0,0.0,0.0
202,579,0.0,0.0,0.0,0.0
203,597,0.0,22.9,9.0,0.0
204,649,0.0,23.228571428571428,8.571428571428571,0.0
205,609,0.0,23.557142857142857,8.142857142857142,0.0
206,683,0.0,23.885714285714286,7.7142857142857135,0.0
207,692,0.0,24.214285714285715,7.285714285714285,0.0
208,601,0.0,24.542857142857144,6.857142857142856,0.0
209,563,0.0,24.871428571428574,6.428571428571427,0.0
210,494,0.0,25.200000000000003,5.999999999999998,0.0
211,697,0.0,25.18571428571429,5.428571428571427,0.0
212,755,0.0,25.171428571428578,4.857142857142856,0.0
213,935,0.0,25.157142857142865,4.285714285714285,0.0
214,884,0.0,25.142857142857153,3.7142857142857135,0.0
215,940,0.0,25.12857142857144,3.1428571428571423,0.0
216,743,0.0,25.114285714285728,2.571428571428571,0.0
217,686,0.0,25.100000000000016,1.9999999999999998,0.0
218,1157,0.0,25.142857142857157,1.9999999999999998,0.0
219,1216,0.0,25.185714285714297,1.9999999999999998,0.0
220,1215,0.0,25.22857142857144,1.9999999999999998,0.0
221,1266,0.0,25.27142857142858,1.9999999999999998,0.0
222,1181,0.0,25.31428571428572,1.9999999999999998,0.0
223,925,0.0,25.35714285714286,1.9999999999999998,0.0
224,910,0.0,25.400000000000002,1.9999999999999998,0.0
225,1498,0.0,25.542857142857144,1.9999999999999998,0.0
226,1491,0.0,25.685714285714287,1.9999999999999998,0.0
227,1570,0.0,25.82857142857143,1.9999999999999998,0.0
228,1582,0.0,25.97142857142857,1.9999999999999998,0.0
229,1621,0.0,26.114285714285714,1.9999999999999998,0.0
230,1233,0.0,26.257142857142856,1.9999999999999998,0.0
231,1187,0.0,26.4,1.9999999999999998,0.0
232,2200,0.0,26.27142857142857,2.4285714285714284,0.0
233,2269,0.0,26.14285714285714,2.8571428571428568,0.0
234,2228,0.0,26.01428571428571,3.285714285714285,0.0
235,2107,0.0,25.88571428571428,3.7142857142857135,0.0
236,2032,0.0,25.75714285714285,4.142857142857142,0.0
237,1546,0.0,25.62857142857142,4.571428571428571,0.0
238,1585,0.0,25.49999999999999,5.0,0.0
239,2634,0.0,25.728571428571417,5.285714285714286,0.0
240,2425,0.0,25.957142857142845,5.571428571428571,0.0
241,2543,0.0,26.185714285714273,5.857142857142857,0.0
242,2487,0.0,26.4142857142857,6.142857142857142,0.0
243,2589,0.0,26.642857142857128,6.428571428571428,0.0
244,1939,0.0,26.871428571428556,6.7142857142857135,0.0
245,1613,0.08045977011494253,27.099999999999984,6.999999999999999,0.0
246,3646,0.08801313628899836,27.02857142857141,6.857142857142856,0.0
247,3104,0.09556650246305419,26.957142857142838,6.714285714285713,0.0
248,2742,0.10311986863711002,26.885714285714265,6.571428571428569,0.0
249,2834,0.11067323481116585,26.814285714285692,6.428571428571426,0.0
250,2797,0.11822660098522168,26.74285714285712,6.285714285714283,0.0
251,2268,0.1257799671592775,26.671428571428546,6.14285714285714,0.0
252,2452,0.13333333333333333,26.599999999999973,5.9999999999999964,0.0
253,3928,0.12663139329805997,26.771428571428544,6.857142857142853,0.0
254,3647,0.1199294532627866,26.942857142857115,7.71428571428571,0.0
255,3537,0.11322751322751323,27.114285714285685,8.571428571428568,0.0
256,3093,0.10652557319223986,27.285714285714256,9.428571428571425,0.0
257,3046,0.09982363315696649,27.457142857142827,10.285714285714283,0.0
258,2363,0.09312169312169312,27.628571428571398,11.14285714285714,0.0
259,2024,0.08641975308641975,27.79999999999997,11.999999999999998,0.0
260,3385,0.08673230192217533,27.742857142857112,11.14285714285714,0.0
261,3032,0.08704485075793092,27.685714285714255,10.285714285714283,0.0
262,2614,0.0873573995936865,27.628571428571398,9.428571428571425,0.0
263,2369,0.08766994842944209,27.57142857142854,8.571428571428568,0.0
264,2303,0.08798249726519768,27.514285714285684,7.714285714285711,0.0
265,1590,0.08829504610095326,27.457142857142827,6.857142857142854,0.0
266,1471,0.08860759493670885,27.39999999999997,5.999999999999997,0.0
267,2246,0.10192339306263355,27.85714285714283,6.428571428571426,0.0
268,2018,0.11523919118855826,28.31428571428569,6.857142857142855,0.0
269,1911,0.12855498931448298,28.771428571428547,7.285714285714284,0.0
270,1694,0.14187078744040768,29.228571428571406,7.714285714285713,0.0
271,1558,0.15518658556633239,29.685714285714266,8.14285714285714,0.0
272,1136,0.1685023836922571,30.142857142857125,8.57142857142857,0.0
273,1120,0.1818181818181818,30.599999999999984,8.999999999999998,0.0
274,1700,0.18810222036028484,30.442857142857125,9.14285714285714,0.0
275,1528,0.1943862589023879,30.285714285714267,9.285714285714283,0.0
276,1472,0.20067029744449094,30.12857142857141,9.428571428571425,0.0
277,1347,0.206954335986594,29.97142857142855,9.571428571428568,0.0
278,1399,0.21323837452869704,29.814285714285692,9.71428571428571,0.0
279,1108,0.2195224130708001,29.657142857142833,9.857142857142852,0.0
280,1126,0.22580645161290314,29.499999999999975,9.999999999999995,0.0
281,1731,0.23436471362738634,29.057142857142832,9.714285714285708,0.0
282,1722,0.24292297564186954,28.61428571428569,9.428571428571422,0.0
283,1654,0.2514812376563528,28.171428571428546,9.142857142857135,5.0555802061901534e-05
284,1680,0.260039499670836,27.728571428571403,8.857142857142849,0.00018907869971151173
285,1742,0.26859776168531924,27.28571428571426,8.571428571428562,0.000372427741856008
286,1338,0.27715602369980247,26.842857142857117,8.285714285714276,0.0005803806076706297
287,1323,0.2857142857142857,26.399999999999974,7.99999999999999,0.0007837834512996802
288,2387,0.3260267069790879,26.342857142857117,8.428571428571418,0.0009556731783101454
289,2242,0.36633912824389014,26.28571428571426,8.857142857142847,0.0011176202642484367
290,2065,0.40665154950869237,26.228571428571403,9.285714285714276,0.002177269875465893
291,2121,0.4469639707734946,26.171428571428546,9.714285714285705,0.00392768026218913
292,2079,0.4872763920382968,26.11428571428569,10.142857142857133,0.005836498828706326
293,1608,0.527588813303099,26.057142857142832,10.571428571428562,0.00766577626664613
294,2213,0.5679012345679013,25.999999999999975,10.999999999999991,0.010064817593823563
295,2978,0.5701058201058202,25.91428571428569,9.999999999999991,0.012183779777578063
296,2811,0.5723104056437391,25.828571428571404,8.999999999999991,0.013439080342775078
297,2721,0.574514991181658,25.74285714285712,7.999999999999991,0.014432333333951237
298,2110,0.576719576719577,25.657142857142833,6.999999999999991,0.015292119007683977
299,1011,0.5789241622574959,25.571428571428548,5.999999999999991,0.015720663689828693
300,2593,0.5811287477954148,25.485714285714263,4.999999999999991,0.015720663689828693
301,3148,0.5833333333333337,25.399999999999977,3.999999999999991,0.015749817535684392
302,3133,0.6195652173913048,25.17142857142855,3.7142857142857055,0.015810821536839086
303,6082,0.6557971014492758,24.94285714285712,3.42857142857142,0.015989957595478423
304,5872,0.6920289855072469,24.714285714285694,3.1428571428571344,0.017057190577005166
305,4554,0.728260869565218,24.485714285714266,2.8571428571428488,0.01893011452405841
306,2997,0.764492753623189,24.25714285714284,2.571428571428563,0.020428925535853584
307,5625,0.8007246376811601,24.02857142857141,2.2857142857142776,0.02074355114401882
308,4862,0.8369565217391312,23.799999999999983,1.999999999999992,0.021666363050988728
309,7146,0.8323738827450393,24.18571428571427,2.999999999999992,0.022195850817917043
310,5864,0.8277912437509475,24.571428571428555,3.999999999999992,0.0226174862071133
311,5581,0.8232086047568556,24.95714285714284,4.999999999999992,0.023611076236969872
312,4762,0.8186259657627638,25.342857142857127,5.999999999999992,0.025048377689589736
313,4613,0.814043326768672,25.728571428571414,6.999999999999992,0.0282298543133452
314,3948,0.8094606877745801,26.1142857142857,7.999999999999992,0.03301260170774129
315,3805,0.8048780487804883,26.499999999999986,8.999999999999993,0.03796016101685918
316,5852,0.8099782861182654,26.885714285714272,8.571428571428564,0.04117382483459405
317,5452,0.8150785234560425,27.271428571428558,8.142857142857135,0.043720320584452035
318,5215,0.8201787607938196,27.657142857142844,7.714285714285706,0.046883597119465215
319,4990,0.8252789981315967,28.04285714285713,7.285714285714278,0.051776050604335634
320,4892,0.8303792354693738,28.428571428571416,6.857142857142849,0.057968125240877334
321,3560,0.8354794728071508,28.814285714285703,6.42857142857142,0.06437910650034706
322,3610,0.8405797101449279,29.19999999999999,5.999999999999991,0.06910809622521734
323,5271,0.8364389233954456,29.157142857142844,7.42857142857142,0.07174609797680735
324,4731,0.8322981366459632,29.1142857142857,8.857142857142849,0.07431719755033546
325,4281,0.8281573498964808,29.071428571428555,10.285714285714278,0.07881261946967975
326,3601,0.8240165631469984,29.02857142857141,11.714285714285706,0.08379994934308634
327,3599,0.8198757763975161,28.985714285714266,13.142857142857135,0.08997045350408163
328,2530,0.8157349896480337,28.94285714285712,14.571428571428564,0.09831687938582115
329,1334,0.8115942028985513,28.899999999999977,15.999999999999993,0.10587227548463213
330,3206,0.8262644188110032,28.84285714285712,14.714285714285706,0.1083306356195622
331,3474,0.8409346347234551,28.785714285714263,13.42857142857142,0.11155070317222492
332,3108,0.855604850635907,28.728571428571406,12.142857142857133,0.11498563288365071
333,3077,0.8702750665483588,28.67142857142855,10.857142857142847,0.11871479736307677
334,2701,0.8849452824608107,28.614285714285693,9.57142857142856,0.12424088356712303
335,1951,0.8996154983732626,28.557142857142836,8.285714285714274,0.13312623429884243
336,1852,0.9142857142857145,28.49999999999998,6.9999999999999885,0.14115668641769508
337,2683,0.922616717920045,28.49999999999998,6.714285714285703,0.1461398033075965
338,2427,0.9309477215543754,28.49999999999998,6.428571428571417,0.15114701846314743
339,2319,0.9392787251887059,28.49999999999998,6.142857142857132,0.1571018178686786
340,2192,0.9476097288230364,28.49999999999998,5.857142857142846,0.1634479191821689
341,1905,0.9559407324573669,28.49999999999998,5.5714285714285605,0.17061706895322695
342,1512,0.9642717360916974,28.49999999999998,5.285714285714275,0.1783308732318319
343,1359,0.9726027397260278,28.49999999999998,4.999999999999989,0.18614578911456062
344,1967,0.9718327933014665,28.57142857142855,5.999999999999989,0.18941169392775947
345,1694,0.9710628468769053,28.642857142857125,6.999999999999989,0.19394469565996977
346,1633,0.970292900452344,28.714285714285698,7.999999999999989,0.19887860490253095
347,1513,0.9695229540277827,28.78571428571427,8.99999999999999,0.2041549454443914
348,1483,0.9687530076032214,28.857142857142843,9.99999999999999,0.21114259988604722
349,1086,0.9679830611786601,28.928571428571416,10.99999999999999,0.2199605428816841
350,996,0.9672131147540988,28.99999999999999,11.99999999999999,0.22771731959204164
351,1770,0.9654034490100069,29.27142857142856,11.142857142857132,0.23130678153843665
352,1595,0.9635937832659149,29.542857142857134,10.285714285714274,0.23521154317035772
353,1409,0.961784117521823,29.814285714285706,9.428571428571416,0.24102967339098155
354,1390,0.9599744517777311,30.08571428571428,8.571428571428559,0.24808102814323538
355,1267,0.9581647860336392,30.35714285714285,7.714285714285702,0.2550969938340459
356,937,0.9563551202895473,30.628571428571423,6.857142857142845,0.26021981325697835
357,939,0.9545454545454554,30.899999999999995,5.9999999999999885,0.2652841564688592
358,1443,0.9550027437351389,30.499999999999996,6.428571428571417,0.26765572914358304
359,1136,0.9554600329248225,30.099999999999998,6.857142857142846,0.26971402436486325
360,1018,0.9559173221145061,29.7,7.285714285714275,0.2748334734009916
361,863,0.9563746113041897,29.3,7.714285714285704,0.28288785526615357
362,768,0.9568319004938732,28.900000000000002,8.142857142857132,0.29142521356034684
363,514,0.9572891896835568,28.500000000000004,8.57142857142856,0.30050722636208704
364,522,0.9577464788732404,28.100000000000005,8.99999999999999,0.30855992303384694
