Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
158,15,0.0,0.0,0.0,0.0
159,19,0.0,0.0,0.0,0.0
160,30,0.0,0.0,0.0,0.0
161,24,0.0,0.0,0.0,0.0
162,47,0.0,0.0,0.0,0.0
163,39,0.0,0.0,0.0,0.0
164,44,0.0,0.0,0.0,0.0
165,50,0.0,0.0,0.0,0.0
166,58,0.0,0.0,0.0,0.0
167,27,0.0,0.0,0.0,0.0
168,20,0.0,0.0,0.0,0.0
169,48,0.0,0.0,0.0,0.0
170,45,0.0,0.0,0.0,0.0
171,47,0.0,0.0,0.0,0.0
172,72,0.0,0.0,0.0,0.0
173,74,0.0,0.0,0.0,0.0
174,44,0.0,0.0,0.0,0.0
175,51,0.0,0.0,0.0,0.0
176,48,0.0,0.0,0.0,0.0
177,64,0.0,0.0,0.0,0.0
178,65,0.0,0.0,0.0,0.0
179,85,0.0,0.0,0.0,0.0
180,81,0.0,0.0,0.0,0.0
181,40,0.0,0.0,0.0,0.0
182,36,0.0,0.0,0.0,0.0
183,46,0.0,0.0,0.0,0.0
184,69,0.0,0.0,0.0,0.0
185,94,0.0,0.0,0.0,0.0
186,109,0.0,0.0,0.0,0.0
187,135,0.0,0.0,0.0,0.0
188,87,0.0,0.0,0.0,0.0
189,102,0.0,0.0,0.0,0.0
190,74,0.0,0.0,0.0,0.0
191,52,0.0,0.0,0.0,0.0
192,92,0.0,0.0,0.0,0.0
193,83,0.0,0.0,0.0,0.0
194,76,0.0,0.0,0.0,0.0
195,98,0.0,0.0,0.0,0.0
196,100,0.0,0.0,0.0,0.0
197,118,0.0,0.0,0.0,0.0
198,103,0.0,0.0,0.0,0.0
199,145,0.0,0.0,0.0,0.0
200,181,0.0,0.0,0.0,0.0
201,168,0.0,0.0,0.0,0.0
202,162,0.0,0.0,0.0,0.0
203,121,0.0,30.8,0.0,0.0
204,133,0.0,29.285714285714285,0.0,0.0
205,168,0.0,27.77142857142857,0.0,0.0
206,217,0.0,26.257142857142853,0.0,0.0
207,290,0.0,24.742857142857137,0.0,0.0
208,249,0.0,23.22857142857142,0.0,0.0
209,269,0.0,21.714285714285705,0.0,0.0
210,264,0.0,20.19999999999999,0.0,0.0
211,292,0.0,20.82857142857142,0.8571428571428571,0.0
212,409,0.0,21.45714285714285,1.7142857142857142,0.0
213,659,0.0,22.08571428571428,2.571428571428571,0.0
214,507,0.0,22.714285714285708,3.4285714285714284,0.0
215,714,0.0,23.342857142857138,4.285714285714286,0.0
216,634,0.0,23.971428571428568,5.142857142857142,0.0
217,631,0.0,24.599999999999998,5.999999999999999,0.0
218,733,0.0,25.21428571428571,5.142857142857142,0.0
219,829,0.0,25.828571428571426,4.285714285714286,0.0
220,1051,0.0,26.44285714285714,3.4285714285714284,0.0
221,975,0.0,27.057142857142853,2.571428571428571,0.0
222,858,0.0,27.671428571428567,1.714285714285714,0.0
223,785,0.0,28.28571428571428,0.8571428571428569,0.0
224,835,0.0,28.899999999999995,-2.220446049250313e-16,0.0
225,1114,0.0,28.957142857142852,-2.220446049250313e-16,0.0
226,1082,0.0,29.01428571428571,-2.220446049250313e-16,0.0
227,1071,0.0,29.071428571428566,-2.220446049250313e-16,0.0
228,1094,0.0,29.128571428571423,-2.220446049250313e-16,0.0
229,949,0.0,29.18571428571428,-2.220446049250313e-16,0.0
230,832,0.0,29.242857142857137,-2.220446049250313e-16,0.0
231,779,0.0,29.299999999999994,-2.220446049250313e-16,0.0
232,1033,0.0,28.928571428571423,-2.220446049250313e-16,0.0
233,1049,0.0,28.557142857142853,-2.220446049250313e-16,0.0
234,1107,0.0,28.185714285714283,-2.220446049250313e-16,0.0
235,1060,0.0,27.814285714285713,-2.220446049250313e-16,0.0
236,856,0.0,27.442857142857143,-2.220446049250313e-16,0.0
237,743,0.0,27.071428571428573,-2.220446049250313e-16,0.0
238,661,0.0,26.700000000000003,-2.220446049250313e-16,0.0
239,872,0.0,27.000000000000004,0.7142857142857141,0.0
240,804,0.0,27.300000000000004,1.4285714285714284,0.0
241,730,0.0,27.600000000000005,2.142857142857143,0.0
242,674,0.0,27.900000000000006,2.857142857142857,0.0
243,661,0.0,28.200000000000006,3.5714285714285716,0.0
244,487,0.0,28.500000000000007,4.285714285714286,0.0
245,443,0.2222222222222222,28.800000000000008,5.0,0.0
246,646,0.22857142857142856,28.785714285714292,6.571428571428571,0.0
247,626,0.23492063492063492,28.771428571428576,8.142857142857142,0.0
248,577,0.24126984126984127,28.75714285714286,9.714285714285714,0.0
249,543,0.24761904761904763,28.742857142857144,11.285714285714285,0.0
250,467,0.25396825396825395,28.728571428571428,12.857142857142856,0.0
251,431,0.2603174603174603,28.71428571428571,14.428571428571427,0.0
252,400,0.2666666666666666,28.699999999999996,15.999999999999998,0.0
253,645,0.2541353383458646,28.74285714285714,13.714285714285712,0.0
254,700,0.2416040100250626,28.785714285714285,11.428571428571427,0.0
255,588,0.2290726817042606,28.82857142857143,9.142857142857142,0.0
256,537,0.2165413533834586,28.871428571428574,6.857142857142857,0.0
257,466,0.20401002506265659,28.914285714285718,4.571428571428571,0.0
258,399,0.19147869674185458,28.957142857142863,2.2857142857142856,0.0
259,366,0.17894736842105258,29.000000000000007,0.0,0.0
260,545,0.16402175651895692,28.47142857142858,1.0,0.0
261,543,0.14909614461686127,27.94285714285715,2.0,0.0
262,429,0.13417053271476562,27.41428571428572,3.0,0.0
263,339,0.11924492081266995,26.885714285714293,4.0,0.0
264,343,0.10431930891057428,26.357142857142865,5.0,0.0
265,283,0.08939369700847861,25.828571428571436,6.0,0.0
266,253,0.07446808510638295,25.300000000000008,7.0,0.0
267,364,0.11144883485309015,25.74285714285715,6.0,0.0
268,324,0.14842958459979735,26.185714285714294,5.0,0.0
269,391,0.18541033434650456,26.628571428571437,4.0,0.0
270,335,0.22239108409321176,27.07142857142858,3.0,0.0
271,322,0.25937183383991896,27.514285714285723,2.0,0.0
272,323,0.29635258358662614,27.957142857142866,1.0,0.0
273,260,0.3333333333333333,28.40000000000001,0.0,0.0
274,489,0.3185550082101806,27.942857142857154,1.8571428571428572,0.0
275,409,0.30377668308702793,27.485714285714298,3.7142857142857144,0.0
276,411,0.28899835796387524,27.028571428571443,5.571428571428571,0.0
277,488,0.27422003284072255,26.571428571428587,7.428571428571429,0.0
278,418,0.25944170771756986,26.11428571428573,9.285714285714286,0.0
279,391,0.24466338259441714,25.657142857142876,11.142857142857144,0.0
280,355,0.22988505747126442,25.20000000000002,13.000000000000002,0.0
281,456,0.26847290640394095,25.042857142857162,12.142857142857144,0.0
282,479,0.3070607553366175,24.885714285714304,11.285714285714286,0.0
283,458,0.345648604269294,24.728571428571446,10.428571428571429,0.0
284,498,0.38423645320197053,24.571428571428587,9.571428571428571,0.0
285,527,0.42282430213464706,24.41428571428573,8.714285714285714,0.0
286,353,0.4614121510673236,24.25714285714287,7.857142857142857,0.0
287,404,0.5000000000000001,24.100000000000012,7.0,0.0
288,558,0.4642857142857144,23.700000000000014,6.0,0.0
289,513,0.4285714285714287,23.300000000000015,5.0,0.0
290,610,0.392857142857143,22.900000000000016,4.0,0.0
291,589,0.3571428571428573,22.500000000000018,3.0,0.0
292,535,0.3214285714285716,22.10000000000002,2.0,0.0
293,476,0.2857142857142859,21.70000000000002,1.0,0.0
294,488,0.2500000000000002,21.300000000000022,0.0,0.0
295,699,0.2936507936507939,21.62857142857145,0.0,0.0
296,699,0.33730158730158755,21.95714285714288,0.0,0.0
297,795,0.3809523809523812,22.28571428571431,0.0,0.0
298,614,0.42460317460317487,22.61428571428574,0.0,0.0
299,335,0.46825396825396853,22.942857142857168,0.0,0.0
300,705,0.5119047619047622,23.271428571428597,0.0,0.0
301,1093,0.5555555555555558,23.600000000000026,0.0,0.0
302,1398,0.5408163265306125,24.01428571428574,1.1428571428571428,0.0
303,2332,0.5260770975056692,24.428571428571455,2.2857142857142856,0.0
304,2246,0.5113378684807259,24.84285714285717,3.4285714285714284,0.0
305,1735,0.49659863945578264,25.257142857142885,4.571428571428571,0.0
306,1228,0.48185941043083935,25.6714285714286,5.7142857142857135,0.0
307,1920,0.46712018140589606,26.085714285714314,6.857142857142856,0.0
308,1639,0.45238095238095277,26.50000000000003,7.999999999999998,0.0
309,2010,0.4897959183673473,26.528571428571457,8.14285714285714,0.0
310,1598,0.5272108843537419,26.557142857142885,8.285714285714283,0.0
311,1489,0.5646258503401365,26.585714285714314,8.428571428571425,0.0
312,1187,0.6020408163265311,26.614285714285742,8.571428571428568,0.0
313,1187,0.6394557823129257,26.64285714285717,8.71428571428571,0.0
314,975,0.6768707482993203,26.6714285714286,8.857142857142852,0.0
315,824,0.7142857142857149,26.700000000000028,8.999999999999995,0.0
316,1245,0.7113232389730091,27.200000000000028,11.285714285714281,0.0
317,1087,0.7083607636603033,27.700000000000028,13.571428571428566,0.0032645655228717616
318,1026,0.7053982883475975,28.200000000000028,15.85714285714285,0.007082554641338736
319,872,0.7024358130348918,28.700000000000028,18.142857142857135,0.013041363661087192
320,821,0.699473337722186,29.200000000000028,20.42857142857142,0.01930751288373299
321,654,0.6965108624094802,29.700000000000028,22.714285714285705,0.021070758480767737
322,588,0.6935483870967745,30.200000000000028,24.99999999999999,0.022380914912706405
323,880,0.6979183219450186,30.100000000000026,25.14285714285713,0.025195559726182058
