Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
158,64,0.0,0.0,0.0,0.0
159,56,0.0,0.0,0.0,0.0
160,32,0.0,0.0,0.0,0.0
161,31,0.0,0.0,0.0,0.0
162,119,0.0,0.0,0.0,0.0
163,80,0.0,0.0,0.0,0.0
164,86,0.0,0.0,0.0,0.0
165,76,0.0,0.0,0.0,0.0
166,99,0.0,0.0,0.0,0.0
167,47,0.0,0.0,0.0,0.0
168,37,0.0,0.0,0.0,0.0
169,110,0.0,0.0,0.0,0.0
170,81,0.0,0.0,0.0,0.0
171,118,0.0,0.0,0.0,0.0
172,132,0.0,0.0,0.0,0.0
173,115,0.0,0.0,0.0,0.0
174,83,0.0,0.0,0.0,0.0
175,86,0.0,0.0,0.0,0.0
176,94,0.0,0.0,0.0,0.0
177,95,0.0,0.0,0.0,0.0
178,121,0.0,0.0,0.0,0.0
179,131,0.0,0.0,0.0,0.0
180,118,0.0,0.0,0.0,0.0
181,107,0.0,0.0,0.0,0.0
182,103,0.0,0.0,0.0,0.0
183,123,0.0,0.0,0.0,0.0
184,129,0.0,0.0,0.0,0.0
185,208,0.0,0.0,0.0,0.0
186,231,0.0,0.0,0.0,0.0
187,236,0.0,0.0,0.0,0.0
188,161,0.0,0.0,0.0,0.0
189,181,0.0,0.0,0.0,0.0
190,208,0.0,0.0,0.0,0.0
191,198,0.0,0.0,0.0,0.0
192,171,0.0,0.0,0.0,0.0
193,217,0.0,0.0,0.0,0.0
194,166,0.0,0.0,0.0,0.0
195,140,0.0,0.0,0.0,0.0
196,62,0.0,0.0,0.0,0.0
197,153,0.0,0.0,0.0,0.0
198,138,0.0,0.0,0.0,0.0
199,149,0.0,0.0,0.0,0.0
200,166,0.0,0.0,0.0,0.0
201,201,0.0,0.0,0.0,0.0
202,175,0.0,0.0,0.0,0.0
203,175,0.0,27.8,0.0,0.0
204,228,0.0,27.914285714285715,2.0,0.0
205,267,0.0,28.02857142857143,4.0,0.0
206,259,0.0,28.142857142857142,6.0,0.0
207,294,0.0,28.257142857142856,8.0,0.0
