Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
158,45,0.0,0.0,0.0,0.0
159,41,0.0,0.0,0.0,0.0
160,25,0.0,0.0,0.0,0.0
161,15,0.0,0.0,0.0,0.0
162,42,0.0,0.0,0.0,0.0
163,41,0.0,0.0,0.0,0.0
164,43,0.0,0.0,0.0,0.0
165,53,0.0,0.0,0.0,0.0
166,55,0.0,0.0,0.0,0.0
167,24,0.0,0.0,0.0,0.0
168,37,0.0,0.0,0.0,0.0
169,47,0.0,0.0,0.0,0.0
170,58,0.0,0.0,0.0,0.0
171,67,0.0,0.0,0.0,0.0
172,85,0.0,0.0,0.0,0.0
173,65,0.0,0.0,0.0,0.0
174,39,0.0,0.0,0.0,0.0
175,41,0.0,0.0,0.0,0.0
176,49,0.0,0.0,0.0,0.0
177,50,0.0,0.0,0.0,0.0
178,61,0.0,0.0,0.0,0.0
179,57,0.0,0.0,0.0,0.0
180,72,0.0,0.0,0.0,0.0
181,50,0.0,0.0,0.0,0.0
182,35,0.0,0.0,0.0,0.0
183,56,0.0,0.0,0.0,0.0
184,99,0.0,0.0,0.0,0.0
185,131,0.0,0.0,0.0,0.0
186,146,0.0,0.0,0.0,0.0
187,131,0.0,0.0,0.0,0.0
188,83,0.0,0.0,0.0,0.0
189,74,0.0,0.0,0.0,0.0
190,96,0.0,0.0,0.0,0.0
191,75,0.0,0.0,0.0,0.0
192,76,0.0,0.0,0.0,0.0
193,84,0.0,0.0,0.0,0.0
194,94,0.0,0.0,0.0,0.0
195,62,0.0,0.0,0.0,0.0
196,55,0.0,0.0,0.0,0.0
197,77,0.0,0.0,0.0,0.0
198,86,0.0,0.0,0.0,0.0
199,74,0.0,0.0,0.0,0.0
200,107,0.0,0.0,0.0,0.0
201,123,0.0,0.0,0.0,0.0
202,126,0.0,0.0,0.0,0.0
203,144,0.0,30.4,29.0,0.0
204,151,0.0,30.0,25.428571428571427,0.0
205,153,0.0,29.6,21.857142857142854,0.0
206,170,0.0,29.200000000000003,18.28571428571428,0.0
207,207,0.0,28.800000000000004,14.71428571428571,0.0
208,221,0.0,28.400000000000006,11.142857142857139,0.0
209,129,0.0,28.000000000000007,7.571428571428568,0.0
210,122,0.0,27.60000000000001,3.999999999999996,0.0
211,317,0.0,27.628571428571437,3.857142857142853,0.0
212,271,0.0,27.657142857142865,3.7142857142857104,0.0
213,392,0.0,27.685714285714294,3.5714285714285676,0.0
214,397,0.0,27.714285714285722,3.428571428571425,0.0
215,417,0.0,27.74285714285715,3.285714285714282,0.0
216,399,0.0,27.77142857142858,3.1428571428571392,0.0
217,433,0.0,27.800000000000008,2.9999999999999964,0.0
218,649,0.0,27.77142857142858,3.8571428571428537,0.0
219,647,0.0,27.74285714285715,4.714285714285711,0.0
220,789,0.0,27.714285714285722,5.571428571428568,0.0
221,839,0.0,27.685714285714294,6.428571428571424,0.0
222,754,0.0,27.657142857142865,7.285714285714281,0.0
223,567,0.0,27.628571428571437,8.142857142857139,0.0
224,479,0.0,27.60000000000001,8.999999999999996,0.0
225,738,0.0,27.67142857142858,7.9999999999999964,0.0
226,953,0.0,27.742857142857154,6.9999999999999964,0.0
227,859,0.0,27.814285714285727,5.9999999999999964,0.0
228,678,0.0,27.8857142857143,4.9999999999999964,0.0
229,792,0.0,27.957142857142873,3.9999999999999964,0.0
230,647,0.0,28.028571428571446,2.9999999999999964,0.0
231,588,0.0,28.10000000000002,1.9999999999999964,0.0
232,1133,0.0,27.785714285714306,2.428571428571425,0.0
233,1139,0.0,27.471428571428593,2.857142857142853,0.0
234,1361,0.0,27.15714285714288,3.2857142857142816,0.0
235,1279,0.0,26.842857142857167,3.71428571428571,0.0
236,1134,0.0,26.528571428571453,4.142857142857139,0.0
237,789,0.0,26.21428571428574,4.571428571428568,0.0
238,907,0.0,25.900000000000027,4.9999999999999964,0.0
239,1343,0.0,25.985714285714312,4.857142857142853,0.0
240,1425,0.0,26.071428571428598,4.71428571428571,0.0
241,1372,0.0,26.157142857142883,4.571428571428567,0.0
242,1406,0.0,26.24285714285717,4.4285714285714235,0.0
243,1246,0.0,26.328571428571454,4.28571428571428,0.0
244,854,0.0,26.41428571428574,4.142857142857137,0.0
245,715,0.20689655172413793,26.500000000000025,3.9999999999999942,0.0
246,1788,0.21444565286929818,26.51428571428574,4.142857142857137,0.0
247,1538,0.22199475401445842,26.528571428571457,4.28571428571428,0.0
248,1608,0.22954385515961867,26.542857142857173,4.4285714285714235,0.0
249,1560,0.23709295630477892,26.55714285714289,4.571428571428567,0.0
250,1479,0.24464205744993917,26.571428571428605,4.71428571428571,0.0
251,1161,0.25219115859509944,26.58571428571432,4.857142857142853,0.0
252,1290,0.2597402597402597,26.600000000000037,4.9999999999999964,0.0
253,1903,0.24500972349509353,26.685714285714322,4.714285714285711,0.0
254,1769,0.23027918724992735,26.771428571428608,4.428571428571425,0.0
255,1595,0.21554865100476117,26.857142857142893,4.14285714285714,0.0
256,1556,0.200818114759595,26.94285714285718,3.857142857142854,0.0
257,1715,0.1860875785144288,27.028571428571464,3.5714285714285685,0.0
258,1255,0.17135704226926263,27.11428571428575,3.285714285714283,0.0
259,1055,0.15662650602409645,27.200000000000035,2.9999999999999973,0.0
260,1738,0.1837018403283464,27.471428571428607,3.7142857142857117,0.0
261,1293,0.21077717463259638,27.74285714285718,4.428571428571426,0.0
262,1175,0.23785250893684634,28.01428571428575,5.142857142857141,0.0
263,996,0.2649278432410963,28.285714285714324,5.857142857142855,0.0
264,900,0.29200317754534627,28.557142857142896,6.571428571428569,0.0
265,694,0.31907851184959624,28.82857142857147,7.285714285714284,0.0
