Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
158,22,0.0,0.0,0.0,0.0
159,16,0.0,0.0,0.0,0.0
160,5,0.0,0.0,0.0,0.0
161,8,0.0,0.0,0.0,0.0
162,19,0.0,0.0,0.0,0.0
163,27,0.0,0.0,0.0,0.0
164,24,0.0,0.0,0.0,0.0
165,17,0.0,0.0,0.0,0.0
166,17,0.0,0.0,0.0,0.0
167,10,0.0,0.0,0.0,0.0
168,18,0.0,0.0,0.0,0.0
169,19,0.0,0.0,0.0,0.0
170,38,0.0,0.0,0.0,0.0
171,35,0.0,0.0,0.0,0.0
172,31,0.0,0.0,0.0,0.0
173,23,0.0,0.0,0.0,0.0
174,19,0.0,0.0,0.0,0.0
175,11,0.0,0.0,0.0,0.0
176,36,0.0,0.0,0.0,0.0
177,50,0.0,0.0,0.0,0.0
178,44,0.0,0.0,0.0,0.0
179,50,0.0,0.0,0.0,0.0
180,52,0.0,0.0,0.0,0.0
181,44,0.0,0.0,0.0,0.0
182,46,0.0,0.0,0.0,0.0
183,44,0.0,0.0,0.0,0.0
184,58,0.0,0.0,0.0,0.0
185,95,0.0,0.0,0.0,0.0
186,126,0.0,0.0,0.0,0.0
187,149,0.0,0.0,0.0,0.0
188,128,0.0,0.0,0.0,0.0
189,131,0.0,0.0,0.0,0.0
190,159,0.0,0.0,0.0,0.0
191,143,0.0,0.0,0.0,0.0
192,158,0.0,0.0,0.0,0.0
193,186,0.0,0.0,0.0,0.0
194,145,0.0,0.0,0.0,0.0
195,140,0.0,0.0,0.0,0.0
196,164,0.0,0.0,0.0,0.0
197,192,0.0,0.0,0.0,0.0
198,164,0.0,0.0,0.0,0.0
199,207,0.0,0.0,0.0,0.0
200,261,0.0,0.0,0.0,0.0
201,246,0.0,0.0,0.0,0.0
202,280,0.0,0.0,0.0,0.0
203,252,0.0,20.2,0.0,0.0
204,312,0.0,20.928571428571427,0.0,0.0
205,380,0.0,21.657142857142855,0.0,0.0
206,378,0.0,22.385714285714283,0.0,0.0
207,316,0.0,23.11428571428571,0.0,0.0
208,385,0.0,23.842857142857138,0.0,0.0
209,403,0.0,24.571428571428566,0.0,0.0
210,317,0.0,25.299999999999994,0.0,0.0
211,426,0.0,25.599999999999994,0.0,0.0
212,466,0.0,25.899999999999995,0.0,0.0
213,601,0.0,26.199999999999996,0.0,0.0
214,628,0.0,26.499999999999996,0.0,0.0
215,603,0.0,26.799999999999997,0.0,0.0
216,518,0.0,27.099999999999998,0.0,0.0
217,614,0.0,27.4,0.0,0.0
218,703,0.0,27.314285714285713,0.7142857142857143,0.0
219,771,0.0,27.228571428571428,1.4285714285714286,0.0
220,851,0.0,27.142857142857142,2.142857142857143,0.0
221,827,0.0,27.057142857142857,2.857142857142857,0.0
222,781,0.0,26.97142857142857,3.5714285714285716,0.0
223,620,0.0,26.885714285714286,4.285714285714286,0.0
224,626,0.0,26.8,5.0,0.0
225,782,0.0,26.985714285714288,4.857142857142857,0.0
226,953,0.0,27.171428571428574,4.7142857142857135,0.0
227,906,0.0,27.35714285714286,4.57142857142857,0.0
228,790,0.0,27.542857142857148,4.428571428571427,0.0
229,951,0.0,27.728571428571435,4.285714285714284,0.0
230,708,0.0,27.91428571428572,4.142857142857141,0.0
231,716,0.0,28.10000000000001,3.999999999999998,0.0
232,1111,0.0,27.70000000000001,3.428571428571426,0.0
233,1236,0.0,27.30000000000001,2.857142857142855,0.0
234,1266,0.0,26.900000000000013,2.285714285714284,0.0
235,1056,0.0,26.500000000000014,1.7142857142857124,0.0
236,1197,0.0,26.100000000000016,1.142857142857141,0.0
237,1025,0.0,25.700000000000017,0.5714285714285696,0.0
238,940,0.0,25.30000000000002,-1.7763568394002505e-15,0.0
239,1557,0.0,25.81428571428573,0.8571428571428553,0.0
240,1478,0.0,26.328571428571443,1.7142857142857124,0.0
241,1357,0.0,26.842857142857156,2.5714285714285694,0.0
242,1583,0.0,27.35714285714287,3.4285714285714266,0.0
243,1241,0.0,27.87142857142858,4.285714285714284,0.0
244,879,0.0,28.385714285714293,5.142857142857141,0.0
245,947,0.25609756097560976,28.900000000000006,5.999999999999997,0.0
246,1409,0.2557026713124274,28.900000000000006,5.142857142857141,0.0
247,1235,0.25530778164924506,28.900000000000006,4.285714285714284,0.0
248,1095,0.2549128919860627,28.900000000000006,3.4285714285714266,0.0
249,1016,0.25451800232288035,28.900000000000006,2.5714285714285694,0.0
250,877,0.254123112659698,28.900000000000006,1.7142857142857122,0.0
251,605,0.25372822299651565,28.900000000000006,0.8571428571428551,0.0
252,698,0.2533333333333333,28.900000000000006,-1.9984014443252818e-15,0.0
253,1009,0.25481946624803764,29.042857142857148,-1.9984014443252818e-15,0.0
254,964,0.256305599162742,29.18571428571429,-1.9984014443252818e-15,0.0
255,855,0.2577917320774463,29.328571428571433,-1.9984014443252818e-15,0.0
256,773,0.25927786499215066,29.471428571428575,-1.9984014443252818e-15,0.0
257,859,0.260763997906855,29.614285714285717,-1.9984014443252818e-15,0.0
258,629,0.26225013082155935,29.75714285714286,-1.9984014443252818e-15,0.0
259,627,0.2637362637362637,29.900000000000002,-1.9984014443252818e-15,0.0
260,993,0.23626373626373623,29.842857142857145,1.7142857142857122,0.0
261,1041,0.20879120879120877,29.78571428571429,3.428571428571426,0.0
262,987,0.1813186813186813,29.72857142857143,5.142857142857141,0.0
263,920,0.15384615384615385,29.671428571428574,6.857142857142855,0.0
264,936,0.1263736263736264,29.614285714285717,8.57142857142857,0.0
265,680,0.09890109890109892,29.55714285714286,10.285714285714283,0.0
266,717,0.07142857142857145,29.500000000000004,11.999999999999996,0.0
267,1030,0.07646258503401362,29.071428571428577,11.857142857142854,0.0
268,1093,0.0814965986394558,28.64285714285715,11.714285714285712,0.0
269,1336,0.08653061224489797,28.214285714285722,11.57142857142857,0.0
270,1160,0.09156462585034014,27.785714285714295,11.428571428571427,0.0
271,1035,0.09659863945578231,27.35714285714287,11.285714285714285,0.0
272,844,0.10163265306122449,26.92857142857144,11.142857142857142,0.0
273,966,0.10666666666666666,26.500000000000014,11.0,0.0
274,1505,0.1285343228200371,26.357142857142872,10.285714285714286,0.0
275,1609,0.15040197897340754,26.21428571428573,9.571428571428573,0.0
276,1651,0.17226963512677798,26.071428571428587,8.85714285714286,0.0
277,1803,0.19413729128014842,25.928571428571445,8.142857142857146,0.0
278,1701,0.21600494743351886,25.785714285714302,7.4285714285714315,0.0
279,1533,0.2378726035868893,25.64285714285716,6.714285714285717,0.0
280,1697,0.2597402597402597,25.500000000000018,6.000000000000003,0.0
281,2511,0.2415849456665783,25.17142857142859,5.142857142857146,0.0
282,2601,0.22342963159289686,24.84285714285716,4.285714285714289,0.0
283,2692,0.20527431751921543,24.51428571428573,3.428571428571432,0.0
284,2664,0.187119003445534,24.1857142857143,2.5714285714285747,0.0
285,2811,0.16896368937185258,23.857142857142872,1.7142857142857175,0.0
