Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
158,25,0.0,0.0,0.0,0.0
159,16,0.0,0.0,0.0,0.0
160,13,0.0,0.0,0.0,0.0
161,15,0.0,0.0,0.0,0.0
162,24,0.0,0.0,0.0,0.0
163,50,0.0,0.0,0.0,0.0
164,40,0.0,0.0,0.0,0.0
165,55,0.0,0.0,0.0,0.0
166,32,0.0,0.0,0.0,0.0
167,18,0.0,0.0,0.0,0.0
168,12,0.0,0.0,0.0,0.0
169,32,0.0,0.0,0.0,0.0
170,36,0.0,0.0,0.0,0.0
171,48,0.0,0.0,0.0,0.0
172,46,0.0,0.0,0.0,0.0
173,45,0.0,0.0,0.0,0.0
174,33,0.0,0.0,0.0,0.0
175,24,0.0,0.0,0.0,0.0
176,40,0.0,0.0,0.0,0.0
177,51,0.0,0.0,0.0,0.0
178,73,0.0,0.0,0.0,0.0
179,67,0.0,0.0,0.0,0.0
180,68,0.0,0.0,0.0,0.0
181,78,0.0,0.0,0.0,0.0
182,62,0.0,0.0,0.0,0.0
183,93,0.0,0.0,0.0,0.0
184,118,0.0,0.0,0.0,0.0
185,129,0.0,0.0,0.0,0.0
186,207,0.0,0.0,0.0,0.0
187,178,0.0,0.0,0.0,0.0
188,238,0.0,0.0,0.0,0.0
189,171,0.0,0.0,0.0,0.0
190,203,0.0,0.0,0.0,0.0
191,231,0.0,0.0,0.0,0.0
192,241,0.0,0.0,0.0,0.0
193,239,0.0,0.0,0.0,0.0
194,201,0.0,0.0,0.0,0.0
195,153,0.0,0.0,0.0,0.0
196,143,0.0,0.0,0.0,0.0
197,200,0.0,0.0,0.0,0.0
198,268,0.0,0.0,0.0,0.0
199,329,0.0,0.0,0.0,0.0
200,372,0.0,0.0,0.0,0.0
201,469,0.0,0.0,0.0,0.0
202,437,0.0,0.0,0.0,0.0
203,591,0.0,23.1,3.0,0.0
204,613,0.0,22.885714285714286,2.5714285714285716,0.0
205,551,0.0,22.67142857142857,2.1428571428571432,0.0
206,647,0.0,22.457142857142856,1.7142857142857146,0.0
207,729,0.0,22.24285714285714,1.285714285714286,0.0
208,613,0.0,22.028571428571425,0.8571428571428574,0.0
209,782,0.0,21.81428571428571,0.4285714285714289,0.0
210,666,0.0,21.599999999999994,3.3306690738754696e-16,0.0
211,986,0.0,21.771428571428565,3.3306690738754696e-16,0.0
212,1058,0.0,21.942857142857136,3.3306690738754696e-16,0.0
213,967,0.0,22.114285714285707,3.3306690738754696e-16,0.0
214,1201,0.0,22.285714285714278,3.3306690738754696e-16,0.0
215,1227,0.0,22.45714285714285,3.3306690738754696e-16,0.0
216,1179,0.0,22.62857142857142,3.3306690738754696e-16,0.0
217,1215,0.0,22.79999999999999,3.3306690738754696e-16,0.0
218,1387,0.0,23.228571428571417,0.14285714285714318,0.0
219,1457,0.0,23.657142857142844,0.28571428571428603,0.0
220,1490,0.0,24.08571428571427,0.4285714285714289,0.0
221,1391,0.0,24.5142857142857,0.5714285714285717,0.0
222,1187,0.0,24.942857142857125,0.7142857142857146,0.0
223,850,0.0,25.371428571428552,0.8571428571428574,0.0
224,944,0.0,25.79999999999998,1.0000000000000002,0.0
225,1400,0.0,25.957142857142838,2.1428571428571432,0.0
226,1315,0.0,26.114285714285696,3.285714285714286,0.0
227,1411,0.0,26.271428571428554,4.428571428571429,0.0
228,1177,0.0,26.428571428571413,5.571428571428571,0.0
