date,cases
2022-05-27,1529
2022-05-26,1566
2022-05-25,1699
2022-05-24,1828
2022-05-23,1984
2022-05-22,1617
2022-05-21,1392
2022-05-20,1692
2022-05-19,1714
2022-05-18,1943
2022-05-17,2005
2022-05-16,2290
2022-05-15,1997
2022-05-14,1606
2022-05-13,1835
2022-05-12,1931
2022-05-11,2096
2022-05-10,2370
2022-05-09,2598
2022-05-08,2325
2022-05-07,1913
2022-05-06,2280
2022-05-05,2495
2022-05-04,2824
2022-05-03,3238
2022-05-02,3042
2022-05-01,2300
2022-04-30,2222
2022-04-29,2474
2022-04-28,2834
2022-04-27,3083
2022-04-26,3474
2022-04-25,4043
2022-04-24,3694
2022-04-23,3383
2022-04-22,3906
2022-04-21,4476
2022-04-20,5281
2022-04-19,6482
2022-04-18,6611
2022-04-17,5323
2022-04-16,5261
2022-04-15,5639
2022-04-14,6960
2022-04-13,8195
2022-04-12,8555
2022-04-11,9847
2022-04-10,8243
2022-04-09,7327
2022-04-08,8780
2022-04-07,9920
2022-04-06,11329
2022-04-05,12217
2022-04-04,13711
2022-04-03,11182
2022-04-02,9730
2022-04-01,12160
2022-03-31,13368
2022-03-30,18044
2022-03-29,19171
2022-03-28,22028
2022-03-27,16700
2022-03-26,15219
2022-03-25,17149
2022-03-24,19086
2022-03-23,21279
2022-03-22,21993
2022-03-21,23896
2022-03-20,18117
2022-03-19,15413
2022-03-18,16866
2022-03-17,17758
2022-03-16,19337
2022-03-15,18482
2022-03-14,19738
2022-03-13,15417
2022-03-12,12911
2022-03-11,13545
2022-03-10,13622
2022-03-09,13771
2022-03-08,12620
2022-03-07,12295
2022-03-06,9020
2022-03-05,7265
2022-03-04,7992
2022-03-03,8144
2022-03-02,8564
2022-03-01,8013
2022-02-28,7915
2022-02-27,5626
2022-02-26,4593
2022-02-25,4875
2022-02-24,5579
2022-02-23,6217
2022-02-22,6675
2022-02-21,7727
2022-02-20,6767
2022-02-19,6172
2022-02-18,5869
2022-02-17,7590
2022-02-16,8785
2022-02-15,8652
2022-02-14,9082
2022-02-13,6937
2022-02-12,6344
2022-02-11,7373
2022-02-10,8328
2022-02-09,10014
2022-02-08,10431
2022-02-07,11547
2022-02-06,9149
2022-02-05,8183
2022-02-04,9577
2022-02-03,11108
2022-02-02,12673
2022-02-01,12742
2022-01-31,13751
2022-01-30,11477
2022-01-29,9784
2022-01-28,10819
2022-01-27,12239
2022-01-26,13464
2022-01-25,12849
2022-01-24,14186
2022-01-23,11329
2022-01-22,9043
2022-01-21,10478
2022-01-20,11281
2022-01-19,12821
2022-01-18,12920
2022-01-17,14794
2022-01-16,11056
2022-01-15,9471
2022-01-14,11181
2022-01-13,12989
2022-01-12,14834
2022-01-11,16602
2022-01-10,20294
2022-01-09,15214
2022-01-08,15824
2022-01-07,20780
2022-01-06,28318
2022-01-05,34486
2022-01-04,46988
2022-01-03,38716
2022-01-02,30597
2022-01-01,22002
2021-12-31,34499
2021-12-30,40906
2021-12-29,47455
2021-12-28,35253
2021-12-27,31060
2021-12-26,18623
2021-12-25,11980
2021-12-24,21282
2021-12-23,23058
2021-12-22,21800
2021-12-21,19801
2021-12-20,17820
2021-12-19,11502
2021-12-18,11227
2021-12-17,11962
2021-12-16,12355
