areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
N92000002,Northern Ireland,nation,2022-01-25,209
N92000002,Northern Ireland,nation,2022-01-24,207
N92000002,Northern Ireland,nation,2022-01-23,402
N92000002,Northern Ireland,nation,2022-01-22,360
N92000002,Northern Ireland,nation,2022-01-21,461
N92000002,Northern Ireland,nation,2022-01-20,385
N92000002,Northern Ireland,nation,2022-01-19,183
N92000002,Northern Ireland,nation,2022-01-18,496
N92000002,Northern Ireland,nation,2022-01-17,577
N92000002,Northern Ireland,nation,2022-01-16,365
N92000002,Northern Ireland,nation,2022-01-15,429
N92000002,Northern Ireland,nation,2022-01-14,569
N92000002,Northern Ireland,nation,2022-01-13,782
N92000002,Northern Ireland,nation,2022-01-12,665
N92000002,Northern Ireland,nation,2022-01-11,623
N92000002,Northern Ireland,nation,2022-01-10,428
N92000002,Northern Ireland,nation,2022-01-09,973
N92000002,Northern Ireland,nation,2022-01-08,0
N92000002,Northern Ireland,nation,2022-01-07,641
N92000002,Northern Ireland,nation,2022-01-06,503
N92000002,Northern Ireland,nation,2022-01-05,3770
N92000002,Northern Ireland,nation,2022-01-04,520
N92000002,Northern Ireland,nation,2022-01-03,401
N92000002,Northern Ireland,nation,2022-01-02,324
N92000002,Northern Ireland,nation,2022-01-01,71
N92000002,Northern Ireland,nation,2021-12-31,92
N92000002,Northern Ireland,nation,2021-12-30,636
N92000002,Northern Ireland,nation,2021-12-29,496
N92000002,Northern Ireland,nation,2021-12-28,849
N92000002,Northern Ireland,nation,2021-12-27,591
N92000002,Northern Ireland,nation,2021-12-26,126
N92000002,Northern Ireland,nation,2021-12-25,0
N92000002,Northern Ireland,nation,2021-12-24,40
N92000002,Northern Ireland,nation,2021-12-23,555
N92000002,Northern Ireland,nation,2021-12-22,1140
N92000002,Northern Ireland,nation,2021-12-21,792
N92000002,Northern Ireland,nation,2021-12-20,1113
N92000002,Northern Ireland,nation,2021-12-19,556
N92000002,Northern Ireland,nation,2021-12-18,578
N92000002,Northern Ireland,nation,2021-12-17,936
N92000002,Northern Ireland,nation,2021-12-16,982
N92000002,Northern Ireland,nation,2021-12-15,1116
N92000002,Northern Ireland,nation,2021-12-14,968
N92000002,Northern Ireland,nation,2021-12-13,1273
N92000002,Northern Ireland,nation,2021-12-12,936
N92000002,Northern Ireland,nation,2021-12-11,561
N92000002,Northern Ireland,nation,2021-12-10,1055
N92000002,Northern Ireland,nation,2021-12-09,1541
N92000002,Northern Ireland,nation,2021-12-08,1626
N92000002,Northern Ireland,nation,2021-12-07,1347
N92000002,Northern Ireland,nation,2021-12-06,1030
N92000002,Northern Ireland,nation,2021-12-05,3154
N92000002,Northern Ireland,nation,2021-12-04,0
N92000002,Northern Ireland,nation,2021-12-03,941
N92000002,Northern Ireland,nation,2021-12-02,1614
N92000002,Northern Ireland,nation,2021-12-01,1856
N92000002,Northern Ireland,nation,2021-11-30,1774
N92000002,Northern Ireland,nation,2021-11-29,1615
N92000002,Northern Ireland,nation,2021-11-28,4815
N92000002,Northern Ireland,nation,2021-11-27,0
N92000002,Northern Ireland,nation,2021-11-26,0
N92000002,Northern Ireland,nation,2021-11-25,1420
N92000002,Northern Ireland,nation,2021-11-24,1542
N92000002,Northern Ireland,nation,2021-11-23,1711
N92000002,Northern Ireland,nation,2021-11-22,1350
N92000002,Northern Ireland,nation,2021-11-21,558
N92000002,Northern Ireland,nation,2021-11-20,411
N92000002,Northern Ireland,nation,2021-11-19,982
N92000002,Northern Ireland,nation,2021-11-18,2473
N92000002,Northern Ireland,nation,2021-11-17,2760
N92000002,Northern Ireland,nation,2021-11-16,1946
N92000002,Northern Ireland,nation,2021-11-15,2233
N92000002,Northern Ireland,nation,2021-11-14,1024
N92000002,Northern Ireland,nation,2021-11-13,485
N92000002,Northern Ireland,nation,2021-11-12,795
N92000002,Northern Ireland,nation,2021-11-11,2058
N92000002,Northern Ireland,nation,2021-11-10,1810
N92000002,Northern Ireland,nation,2021-11-09,1790
N92000002,Northern Ireland,nation,2021-11-08,1364
N92000002,Northern Ireland,nation,2021-11-07,891
N92000002,Northern Ireland,nation,2021-11-06,517
N92000002,Northern Ireland,nation,2021-11-05,669
N92000002,Northern Ireland,nation,2021-11-04,1894
N92000002,Northern Ireland,nation,2021-11-03,1089
N92000002,Northern Ireland,nation,2021-11-02,701
N92000002,Northern Ireland,nation,2021-11-01,474
N92000002,Northern Ireland,nation,2021-10-31,605
N92000002,Northern Ireland,nation,2021-10-30,807
N92000002,Northern Ireland,nation,2021-10-29,967
N92000002,Northern Ireland,nation,2021-10-28,1753
N92000002,Northern Ireland,nation,2021-10-27,1554
N92000002,Northern Ireland,nation,2021-10-26,1456
N92000002,Northern Ireland,nation,2021-10-25,950
N92000002,Northern Ireland,nation,2021-10-24,520
N92000002,Northern Ireland,nation,2021-10-23,751
N92000002,Northern Ireland,nation,2021-10-22,547
N92000002,Northern Ireland,nation,2021-10-21,411
N92000002,Northern Ireland,nation,2021-10-20,365
N92000002,Northern Ireland,nation,2021-10-19,742
N92000002,Northern Ireland,nation,2021-10-18,485
N92000002,Northern Ireland,nation,2021-10-17,170
N92000002,Northern Ireland,nation,2021-10-16,59
N92000002,Northern Ireland,nation,2021-10-15,272
N92000002,Northern Ireland,nation,2021-10-14,477
N92000002,Northern Ireland,nation,2021-10-13,303
N92000002,Northern Ireland,nation,2021-10-12,400
N92000002,Northern Ireland,nation,2021-10-11,232
N92000002,Northern Ireland,nation,2021-10-10,80
N92000002,Northern Ireland,nation,2021-10-09,55
N92000002,Northern Ireland,nation,2021-10-08,291
N92000002,Northern Ireland,nation,2021-10-07,388
N92000002,Northern Ireland,nation,2021-10-06,288
N92000002,Northern Ireland,nation,2021-10-05,207
N92000002,Northern Ireland,nation,2021-10-04,305
N92000002,Northern Ireland,nation,2021-10-03,170
N92000002,Northern Ireland,nation,2021-10-02,117
N92000002,Northern Ireland,nation,2021-10-01,297
N92000002,Northern Ireland,nation,2021-09-30,777
N92000002,Northern Ireland,nation,2021-09-29,766
N92000002,Northern Ireland,nation,2021-09-28,669
N92000002,Northern Ireland,nation,2021-09-27,748
N92000002,Northern Ireland,nation,2021-09-26,521
N92000002,Northern Ireland,nation,2021-09-25,674
N92000002,Northern Ireland,nation,2021-09-24,803
N92000002,Northern Ireland,nation,2021-09-23,871
N92000002,Northern Ireland,nation,2021-09-22,744
N92000002,Northern Ireland,nation,2021-09-21,496
N92000002,Northern Ireland,nation,2021-09-20,770
N92000002,Northern Ireland,nation,2021-09-19,557
N92000002,Northern Ireland,nation,2021-09-18,434
N92000002,Northern Ireland,nation,2021-09-17,676
N92000002,Northern Ireland,nation,2021-09-16,1820
N92000002,Northern Ireland,nation,2021-09-15,1686
N92000002,Northern Ireland,nation,2021-09-14,1427
N92000002,Northern Ireland,nation,2021-09-13,1074
N92000002,Northern Ireland,nation,2021-09-12,654
N92000002,Northern Ireland,nation,2021-09-11,398
N92000002,Northern Ireland,nation,2021-09-10,759
N92000002,Northern Ireland,nation,2021-09-09,1175
