date,vaccinated
2020-12-08,2011.0
2020-12-09,3656.0
2020-12-10,3926.0
2020-12-11,4280.0
2020-12-12,3515.0
2020-12-13,2140.0
2020-12-14,3751.0
2020-12-15,6780.0
2020-12-16,8252.0
2020-12-17,10502.0
2020-12-18,10509.0
2020-12-19,8843.0
2020-12-20,11844.0
2020-12-21,14440.0
2020-12-22,13221.0
2020-12-23,15328.0
2020-12-24,7122.0
2020-12-25,71.0
2020-12-26,630.0
2020-12-27,1874.0
2020-12-28,3293.0
2020-12-29,11308.0
2020-12-30,23536.0
2020-12-31,21402.0
2021-01-01,6266.0
2021-01-02,7308.0
2021-01-03,5467.0
2021-01-04,10487.0
2021-01-05,20525.0
2021-01-06,28153.0
2021-01-07,40353.0
2021-01-08,45211.0
2021-01-09,38025.0
2021-01-10,22689.0
2021-01-11,31861.0
2021-01-12,40243.0
2021-01-13,46123.0
2021-01-14,51726.0
2021-01-15,58124.0
2021-01-16,45671.0
2021-01-17,30081.0
2021-01-18,38547.0
2021-01-19,45531.0
2021-01-20,52121.0
2021-01-21,58683.0
2021-01-22,69251.0
2021-01-23,61758.0
2021-01-24,34324.0
2021-01-25,38478.0
2021-01-26,46627.0
2021-01-27,51163.0
2021-01-28,61468.0
2021-01-29,75816.0
2021-01-30,73003.0
2021-01-31,53854.0
2021-02-01,53399.0
2021-02-02,62573.0
2021-02-03,80536.0
2021-02-04,93335.0
2021-02-05,103182.0
2021-02-06,129773.0
2021-02-07,62453.0
2021-02-08,71960.0
2021-02-09,111877.0
2021-02-10,146301.0
2021-02-11,195379.0
2021-02-12,231184.0
2021-02-13,241951.0
2021-02-14,111797.0
2021-02-15,121026.0
2021-02-16,208262.0
2021-02-17,292468.0
2021-02-18,271830.0
2021-02-19,211500.0
2021-02-20,205581.0
2021-02-21,69149.0
2021-02-22,92892.0
2021-02-23,179621.0
2021-02-24,261762.0
2021-02-25,279570.0
2021-02-26,288082.0
2021-02-27,234976.0
2021-02-28,100506.0
2021-03-01,96474.0
2021-03-02,116804.0
2021-03-03,150432.0
2021-03-04,211080.0
2021-03-05,248130.0
2021-03-06,250837.0
2021-03-07,99198.0
2021-03-08,122640.0
2021-03-09,126500.0
2021-03-10,144004.0
2021-03-11,98071.0
2021-03-12,216951.0
2021-03-13,335073.0
2021-03-14,167296.0
2021-03-15,242984.0
2021-03-16,281089.0
2021-03-17,294167.0
2021-03-18,351939.0
2021-03-19,421057.0
2021-03-20,535539.0
2021-03-21,220594.0
2021-03-22,194256.0
2021-03-23,182529.0
2021-03-24,174808.0
2021-03-25,175371.0
2021-03-26,188479.0
2021-03-27,233627.0
2021-03-28,112531.0
2021-03-29,89894.0
2021-03-30,79890.0
2021-03-31,79693.0
2021-04-01,43583.0
2021-04-02,25537.0
2021-04-03,30161.0
2021-04-04,10791.0
2021-04-05,6027.0
2021-04-06,16362.0
2021-04-07,18154.0
2021-04-08,16713.0
2021-04-09,21392.0
2021-04-10,22939.0
2021-04-11,9903.0
2021-04-12,7240.0
2021-04-13,9979.0
2021-04-14,19423.0
2021-04-15,23858.0
2021-04-16,25095.0
2021-04-17,27247.0
2021-04-18,15181.0
2021-04-19,19192.0
2021-04-20,18776.0
2021-04-21,19894.0
2021-04-22,19995.0
2021-04-23,20587.0
2021-04-24,23508.0
2021-04-25,11454.0
2021-04-26,10733.0
2021-04-27,10616.0
2021-04-28,10901.0
2021-04-29,11120.0
2021-04-30,12285.0
2021-05-01,11880.0
2021-05-02,6383.0
2021-05-03,4960.0
2021-05-04,7483.0
2021-05-05,7220.0
2021-05-06,7784.0
2021-05-07,8389.0
2021-05-08,10567.0
2021-05-09,5301.0
2021-05-10,6022.0
2021-05-11,7633.0
2021-05-12,8765.0
2021-05-13,9754.0
2021-05-14,10445.0
2021-05-15,11685.0
2021-05-16,5430.0
2021-05-17,5699.0
2021-05-18,8270.0
2021-05-19,10673.0
2021-05-20,11221.0
2021-05-21,9405.0
2021-05-22,10155.0
2021-05-23,4907.0
2021-05-24,5189.0
2021-05-25,7514.0
2021-05-26,8421.0
2021-05-27,23453.0
2021-05-28,10533.0
2021-05-29,8404.0
2021-05-30,4853.0
2021-05-31,3837.0
2021-06-01,5155.0
2021-06-02,6116.0
2021-06-03,5586.0
2021-06-04,4783.0
2021-06-05,5645.0
2021-06-06,2692.0
2021-06-07,2826.0
2021-06-08,3261.0
2021-06-09,4111.0
2021-06-10,4321.0
2021-06-11,4318.0
2021-06-12,5260.0
2021-06-13,2347.0
2021-06-14,2552.0
2021-06-15,3321.0
2021-06-16,3422.0
2021-06-17,4258.0
2021-06-18,3836.0
2021-06-19,5559.0
2021-06-20,2291.0
2021-06-21,2260.0
2021-06-22,3054.0
2021-06-23,3268.0
2021-06-24,3717.0
2021-06-25,3790.0
2021-06-26,5679.0
2021-06-27,3024.0
2021-06-28,2290.0
2021-06-29,2745.0
2021-06-30,3121.0
2021-07-01,3232.0
2021-07-02,3071.0
2021-07-03,3838.0
2021-07-04,1732.0
2021-07-05,2072.0
2021-07-06,2372.0
2021-07-07,2766.0
2021-07-08,3053.0
2021-07-09,3139.0
2021-07-10,3858.0
2021-07-11,1693.0
2021-07-12,1730.0
2021-07-13,2174.0
2021-07-14,2495.0
2021-07-15,2824.0
2021-07-16,2672.0
2021-07-17,3563.0
2021-07-18,1522.0
2021-07-19,1605.0
2021-07-20,1776.0
2021-07-21,2026.0
2021-07-22,2111.0
2021-07-23,2110.0
2021-07-24,2263.0
2021-07-25,1133.0
2021-07-26,1455.0
2021-07-27,1630.0
2021-07-28,1796.0
2021-07-29,1993.0
2021-07-30,1820.0
2021-07-31,2035.0
2021-08-01,1042.0
2021-08-02,1280.0
2021-08-03,1572.0
2021-08-04,1575.0
2021-08-05,1746.0
2021-08-06,1712.0
2021-08-07,2006.0
2021-08-08,954.0
2021-08-09,1213.0
2021-08-10,1434.0
2021-08-11,1555.0
2021-08-12,1646.0
2021-08-13,1442.0
2021-08-14,1744.0
2021-08-15,776.0
2021-08-16,1121.0
2021-08-17,1252.0
2021-08-18,1200.0
2021-08-19,1395.0
2021-08-20,1338.0
2021-08-21,1541.0
2021-08-22,749.0
2021-08-23,945.0
2021-08-24,1224.0
2021-08-25,1373.0
2021-08-26,1343.0
2021-08-27,1172.0
2021-08-28,1107.0
2021-08-29,580.0
2021-08-30,456.0
2021-08-31,1060.0
2021-09-01,1050.0
2021-09-02,1094.0
2021-09-03,1093.0
2021-09-04,1177.0
2021-09-05,560.0
2021-09-06,863.0
2021-09-07,891.0
2021-09-08,898.0
2021-09-09,1033.0
2021-09-10,1071.0
2021-09-11,1164.0
2021-09-12,529.0
2021-09-13,799.0
2021-09-14,976.0
